,open,high,low,close,adj_close,volume
1998-01-02,39.2500,39.5000,38.6900,39.3800,15.2890,182500
1998-01-05,40.0000,40.0000,38.5600,38.5600,14.9706,110100
1998-01-06,38.5600,38.5600,37.9400,38.0600,14.7765,194600
1998-01-07,38.1300,38.3100,37.1900,37.9400,14.7299,145800
1998-01-08,37.6900,37.7500,36.5600,36.6300,14.2213,168300
1998-01-09,36.9400,36.9400,35.0000,35.2500,13.6855,177100
1998-01-12,33.3800,36.0000,33.2500,35.5000,13.7826,267900
1998-01-13,36.5000,37.9400,36.3100,37.9400,14.7299,351200
1998-01-14,37.8100,37.8100,36.8800,37.0600,14.3882,166500
1998-01-15,37.2500,37.2500,36.8800,37.1900,14.4387,116700
1998-01-16,37.2500,37.5000,36.5600,37.0000,14.3649,384500
1998-01-20,36.8800,38.6300,36.8800,38.3800,14.9007,253500
1998-01-21,38.3800,39.3800,38.3100,38.8100,15.0677,124300
1998-01-22,38.6300,38.8100,37.8800,38.6300,14.9978,141400
1998-01-23,38.6300,38.6300,36.7500,37.1300,14.4154,135800
1998-01-26,37.3800,38.6900,37.3800,37.5000,14.5591,327300
1998-01-27,37.4400,38.0000,37.1300,37.5000,14.5591,201400
1998-01-28,37.5000,38.7500,37.5000,38.6900,15.0211,267200
1998-01-29,38.6300,39.6300,38.6300,39.0000,15.1414,310900
1998-01-30,38.9400,39.6300,38.2500,38.6300,14.9978,167400
1998-02-02,39.5000,41.1300,39.4400,41.0000,15.9179,288200
1998-02-03,41.0000,41.3800,39.8800,40.1900,15.6034,278700
1998-02-04,40.4400,42.0000,40.4400,41.9400,16.2829,258100
1998-02-05,42.1900,42.6300,41.1900,41.7500,16.2091,136200
1998-02-06,41.7500,43.6300,41.7500,43.6300,16.9390,256100
1998-02-09,43.3800,44.8100,43.2500,44.3100,17.2030,270300
1998-02-10,44.4400,45.3100,44.3800,44.8100,17.3971,222900
1998-02-11,44.9400,45.1300,44.6300,44.6300,17.3272,357400
1998-02-12,44.3800,44.4400,42.8100,44.1300,17.1331,286800
1998-02-13,44.0000,44.5000,43.7500,43.7500,16.9856,103200
1998-02-17,43.7500,44.1300,43.5600,43.7500,16.9856,148500
1998-02-18,43.7500,44.0600,43.6300,44.0600,17.1059,151500
1998-02-19,43.9400,44.5000,43.6900,44.3100,17.2030,112900
1998-02-20,44.2500,44.3100,44.0000,44.3100,17.2030,182600
1998-02-23,44.4400,44.5000,44.3100,44.3800,17.2302,92400
1998-02-24,44.2500,44.3800,43.8800,44.3100,17.2030,112400
1998-02-25,44.5000,45.3800,44.5000,45.0000,17.4709,230600
1998-02-26,45.0000,45.3800,45.0000,45.3800,17.6184,253900
1998-02-27,45.5000,46.0000,45.1900,45.2500,17.5679,137300
1998-03-02,45.0000,45.8100,45.0000,45.6900,17.7388,254000
1998-03-03,45.5600,46.8800,45.3100,46.3800,18.0066,195100
1998-03-04,46.2500,47.1300,45.8800,47.1300,18.2978,198600
1998-03-05,46.6300,47.0000,46.1300,46.5600,18.0765,172300
1998-03-06,46.8100,47.0000,46.3800,46.8100,18.1736,106600
1998-03-09,46.7500,47.5600,46.5000,46.5000,18.0532,102300
1998-03-10,46.5000,47.0600,46.3800,46.5000,18.0532,133300
1998-03-11,46.5000,46.9400,46.1300,46.8800,18.2008,98200
1998-03-12,46.9400,47.2500,46.5000,47.0600,18.2706,101700
1998-03-13,47.1300,47.4400,46.1900,47.4400,18.4182,155100
1998-03-16,47.8100,47.8800,47.2500,47.8100,18.5618,128100
1998-03-17,47.0000,47.3800,47.0000,47.2500,18.3444,66300
1998-03-18,47.3800,47.4400,46.9400,47.1900,18.3211,56800
1998-03-19,47.3100,47.5600,46.8800,47.5600,18.4648,131700
1998-03-20,47.3800,48.2500,47.1900,47.6300,18.4919,151400
1998-03-23,47.3800,47.8100,47.1900,47.1900,18.3211,137700
1998-03-24,47.1900,47.6300,46.6300,47.2500,18.3444,161100
1998-03-25,47.3800,49.2500,47.3800,47.5600,18.4648,177300
1998-03-26,47.1900,47.6900,46.8800,47.6300,18.4919,160200
1998-03-27,47.6900,48.0000,47.4400,47.5600,18.4648,46100
1998-03-30,47.5600,47.5600,47.0000,47.0000,18.2474,72000
1998-03-31,47.0000,48.2500,47.0000,48.0000,18.6356,185400
1998-04-01,48.1300,48.1300,47.4400,47.5600,18.4648,103000
1998-04-02,47.6300,48.9400,47.5600,48.6300,18.8802,111400
1998-04-03,48.6900,49.8100,48.6300,48.7500,18.9268,137000
1998-04-06,48.8800,49.0000,47.2500,47.2500,18.3444,135100
1998-04-07,47.3800,48.2500,47.2500,47.7500,18.5385,362300
1998-04-08,47.6300,48.5600,47.1300,48.0000,18.6356,208500
1998-04-09,48.1300,49.6300,48.0000,48.0600,18.6589,134900
1998-04-13,48.2500,48.8800,48.2500,48.6900,18.9035,82800
1998-04-14,48.8800,50.2500,48.8100,49.8100,19.3383,85000
1998-04-15,50.0000,50.6900,49.4400,49.7500,19.3150,139400
1998-04-16,49.9400,51.0000,49.3100,49.3800,19.1714,311800
1998-04-17,49.3800,49.5600,49.2500,49.5000,19.2180,181700
1998-04-20,49.6300,52.5000,49.6300,52.1900,20.2623,242000
1998-04-21,52.6300,52.8800,51.6300,51.7500,20.0915,212500
1998-04-22,52.0000,52.9400,52.0000,52.8800,20.5302,144300
1998-04-23,52.8800,52.8800,51.1300,51.2500,19.8974,125100
1998-04-24,51.3800,52.1900,51.3800,51.5000,19.9944,178800
1998-04-27,51.2500,51.2500,49.5000,50.2500,19.5091,109700
1998-04-28,50.6300,50.8800,50.4400,50.8800,19.7537,107600
1998-04-29,51.0600,51.8800,50.6900,51.1900,19.8741,81100
1998-04-30,51.3800,54.2500,51.3800,54.1300,21.0155,242800
