,open,high,low,close,adj_close,volume
1999-08-11,46.0000,56.7500,40.0000,54.5000,18.1667,17883100
1999-08-12,58.0000,77.8700,58.0000,72.6200,24.2067,15293000
1999-08-13,85.1200,90.6900,80.2500,85.2500,28.4167,8890700
1999-08-16,85.7500,86.2500,73.6200,74.5000,24.8333,6242100
1999-08-17,76.0000,76.5000,62.3800,67.2500,22.4167,6667700
1999-08-18,66.5000,75.7500,61.0000,71.5000,23.8333,4298900
1999-08-19,69.1900,75.3100,67.2500,71.3100,23.7700,1901400
1999-08-20,73.8700,74.8700,67.1900,68.1200,22.7067,1251100
1999-08-23,64.0000,67.8700,63.5000,63.8800,21.2933,1383700
1999-08-24,62.8100,70.8100,62.7500,69.0000,23.0000,1869500
1999-08-25,73.7500,76.5000,70.2500,73.5000,24.5000,1879100
1999-08-26,77.2500,84.6200,75.2500,78.9400,26.3133,2900000
1999-08-27,83.2500,83.5000,76.5000,79.8100,26.6033,1320100
1999-08-30,80.7500,81.0600,75.0000,75.5600,25.1867,652200
1999-08-31,76.6200,82.5000,70.5000,82.3100,27.4367,1496400
1999-09-01,83.8700,86.0000,78.6200,79.6200,26.5400,1279800
1999-09-02,77.6200,81.5000,75.0000,80.0000,26.6667,772200
1999-09-03,84.4400,85.2500,80.6200,84.9400,28.3133,1121500
1999-09-07,87.0000,109.8700,83.3700,108.0000,36.0000,8228200
1999-09-08,106.2500,135.2500,106.0000,116.7500,38.9167,12259200
1999-09-09,125.3100,131.5000,123.2500,123.2500,41.0834,5185400
1999-09-10,130.2500,130.6900,117.1200,119.7500,39.9167,2819100
1999-09-13,118.5000,118.7500,105.7500,108.3700,36.1234,2698300
1999-09-14,104.6200,106.5000,100.1200,100.9700,33.6567,2566000
1999-09-15,106.0000,106.6200,96.0000,96.8400,32.2800,2354200
1999-09-16,99.7200,113.5000,92.5000,113.4400,37.8134,4716500
1999-09-17,114.9400,120.8100,107.1200,107.3700,35.7900,4602100
1999-09-20,111.0000,115.0000,106.4100,110.4700,36.8234,1438500
1999-09-21,109.1200,117.2500,108.5000,112.3700,37.4567,1948100
1999-09-22,115.0000,115.0000,107.5000,108.2500,36.0834,1498700
1999-09-23,111.4400,112.5000,100.0000,101.0000,33.6667,1388200
1999-09-24,103.0000,105.2500,98.2500,102.0600,34.0200,1281600
1999-09-27,108.0000,108.6200,100.8700,102.2500,34.0834,697300
1999-09-28,101.0600,102.3100,98.7500,99.6200,33.2067,665100
1999-09-29,99.0000,104.0000,97.5000,98.1900,32.7300,745800
1999-09-30,99.9400,101.5000,95.7500,96.0000,32.0000,631900
1999-10-01,95.0000,95.0000,85.6200,87.4400,29.1467,1617100
1999-10-04,91.0000,92.5000,87.5600,88.6900,29.5633,834900
1999-10-05,91.0000,97.5000,89.2500,90.8700,30.2900,1620200
1999-10-06,93.8700,93.8700,88.1200,90.8700,30.2900,701300
1999-10-07,92.5000,92.9400,85.2500,86.3700,28.7900,1482500
1999-10-08,86.3700,89.5000,84.8700,86.5000,28.8333,715100
1999-10-11,86.3700,95.5000,86.3700,95.2500,31.7500,1366100
1999-10-12,94.5000,96.1900,90.0000,91.1200,30.3733,1010700
1999-10-13,89.1200,93.5000,86.1900,89.4400,29.8133,786200
1999-10-14,90.5600,90.5600,86.0000,87.4100,29.1367,402300
1999-10-15,81.0600,84.7500,80.2500,81.2500,27.0833,820300
1999-10-18,80.4400,84.0000,80.0600,83.8700,27.9567,484600
1999-10-19,86.8700,87.0000,77.2500,77.5000,25.8333,626200
1999-10-20,80.1200,82.8100,77.8700,79.3100,26.4367,629700
1999-10-21,77.0000,83.0000,75.0000,77.0000,25.6667,813600
1999-10-22,78.8100,78.9400,75.0000,75.1900,25.0633,704800
1999-10-25,74.1200,79.2500,72.0000,76.8700,25.6233,857800
1999-10-26,82.3700,93.0000,80.2500,90.6200,30.2067,4127100
1999-10-27,89.9400,93.5000,84.5000,85.8700,28.6233,1604700
1999-10-28,89.2500,89.7500,82.3700,84.0000,28.0000,555900
1999-10-29,87.0000,90.1200,85.0000,88.6200,29.5400,817900
1999-11-01,88.0000,93.5000,87.4400,89.3700,29.7900,679600
1999-11-02,92.1200,92.2500,87.5600,87.8100,29.2700,380300
1999-11-03,88.1200,90.0000,86.5000,88.0000,29.3333,398600
1999-11-04,89.8700,90.0000,84.0000,85.2500,28.4167,419100
1999-11-05,88.2500,92.1600,83.4400,85.9400,28.6467,1220400
1999-11-08,98.5000,109.5000,98.1200,104.0000,34.6667,5134100
1999-11-09,103.5000,105.2500,94.1200,97.5000,32.5000,1822100
1999-11-10,96.2500,101.0000,92.5000,95.2500,31.7500,999600
1999-11-11,98.4400,104.8700,95.5000,103.5000,34.5000,1213600
1999-11-12,106.5000,106.7500,97.0000,101.8100,33.9367,1305600
1999-11-15,105.0000,111.0000,102.1200,105.3700,35.1234,1765100
1999-11-16,111.5000,120.2500,109.6200,119.6200,39.8734,2039100
1999-11-17,124.0000,131.0000,122.0000,123.5000,41.1667,1513400
1999-11-18,130.0600,130.5000,125.0000,125.2500,41.7500,779100
1999-11-19,126.5600,126.6900,117.3700,122.0600,40.6867,754000
1999-11-22,125.7500,126.5000,119.8700,124.5000,41.5000,559000
1999-11-23,128.7500,145.9800,125.8700,143.7500,47.9167,2432900
1999-11-24,147.5600,175.5000,145.6900,168.9400,56.3134,3061700
1999-11-26,184.0000,219.9400,181.6300,213.5000,71.1667,2296600
1999-11-29,217.6300,254.0000,215.0000,236.6300,78.8767,4143700
1999-11-30,237.0000,239.0000,205.0000,210.0000,70.0000,2797800
1999-12-01,212.5000,225.0000,211.2500,214.9400,71.6467,1343000
1999-12-02,217.8800,224.0000,206.4400,210.3100,70.1034,978400
1999-12-03,218.0000,220.9700,196.0000,201.0000,67.0000,1780500
1999-12-06,219.0000,233.5000,210.1300,232.1300,77.3767,2628700
1999-12-07,246.5600,290.7500,240.0000,284.1300,94.7100,2724100
1999-12-08,272.5000,302.6300,270.0000,271.2500,90.4167,2823500
1999-12-09,290.0000,291.0000,265.0000,286.2500,95.4167,1582000
1999-12-10,293.8800,294.0000,272.0000,273.0600,91.0200,664300
1999-12-13,253.0000,263.8800,241.0000,246.5000,82.1667,1389500
1999-12-14,234.0000,242.0600,215.0000,217.0000,72.3334,1949900
1999-12-15,213.2500,243.0000,210.0000,243.0000,81.0000,2270900
1999-12-16,247.5000,258.5000,235.0600,245.7500,81.9167,1118400
1999-12-17,257.5000,259.5000,245.8800,252.8800,84.2934,965300
1999-12-20,251.0000,268.8100,244.0000,267.9400,89.3134,1627400
1999-12-21,261.0600,266.0000,253.0000,257.0600,85.6867,848100
1999-12-22,250.0000,257.0000,234.3800,236.8800,78.9600,1024900
1999-12-23,235.2500,246.0000,225.0000,228.0000,76.0000,794300
1999-12-27,232.7500,239.5000,220.0000,234.3800,78.1267,648600
1999-12-28,239.5000,246.6300,228.5000,232.0000,77.3334,503800
1999-12-29,231.7500,233.5000,221.6300,224.0000,74.6667,314900
1999-12-30,226.1300,235.0000,220.5000,223.0000,74.3334,365400
1999-12-31,222.3800,222.5000,211.0000,211.2500,70.4167,402000
2000-01-03,228.2500,231.6300,211.0000,231.5000,77.1667,806400
2000-01-04,228.0000,229.0000,215.0000,215.0000,71.6667,615000
2000-01-05,218.5000,258.0000,212.0000,256.0000,85.3334,2331300
2000-01-06,251.0000,272.4400,228.2500,228.2500,76.0834,2304100
2000-01-07,234.9400,267.3800,230.0000,264.5000,88.1667,1357100
2000-01-10,144.5000,148.0000,131.3800,141.2500,94.1667,1436700
2000-01-11,140.0000,145.0000,125.0600,129.5000,86.3334,1518700
2000-01-12,138.0000,138.0000,120.3700,131.3100,87.5400,1321300
2000-01-13,139.2500,143.0000,130.0000,131.3100,87.5400,1138500
2000-01-14,139.0000,139.7500,131.5000,132.2500,88.1667,759300
2000-01-18,123.5000,125.0000,115.5000,116.3700,77.5800,2179300
2000-01-19,118.6900,121.5000,116.0600,117.3700,78.2467,1312400
2000-01-20,120.4400,120.4400,110.6200,114.8100,76.5400,889000
2000-01-21,118.6200,120.0000,111.0000,114.0600,76.0400,915200
2000-01-24,117.0000,118.0000,111.0000,112.0000,74.6667,899700
2000-01-25,110.0600,114.5000,109.5000,114.2200,76.1467,729400
2000-01-26,113.4400,123.6900,111.6200,113.3700,75.5800,2133400
2000-01-27,115.0600,120.0000,112.0000,113.8700,75.9134,786400
2000-01-28,112.5000,114.8700,104.5000,107.0000,71.3334,782900
2000-01-31,103.3700,105.0000,91.0000,95.1200,63.4134,2134300
2000-02-01,97.9400,100.0000,88.9400,92.5000,61.6667,1369600
2000-02-02,91.3700,108.6200,88.3100,108.0000,72.0000,4826100
2000-02-03,105.7500,108.0000,98.0000,98.6200,65.7467,3175700
2000-02-04,95.0600,98.0000,92.0000,92.6900,61.7934,6532500
2000-02-07,90.7500,92.5600,87.6200,88.9400,59.2934,2289000
2000-02-08,93.5000,94.3700,88.5600,90.3700,60.2467,2397300
2000-02-09,92.0000,92.0600,89.0000,89.5000,59.6667,965800
2000-02-10,89.5000,89.7500,85.0000,87.0600,58.0400,1013900
2000-02-11,86.0000,86.5000,81.2500,83.3700,55.5800,1689000
2000-02-14,83.1200,84.0000,77.1900,78.1900,52.1267,1718300
2000-02-15,77.2500,77.6200,73.0000,74.7500,49.8334,1950600
2000-02-16,73.3700,74.5000,69.1200,70.0000,46.6667,4151800
2000-02-17,70.4400,79.7500,70.0000,75.1900,50.1267,6665900
2000-02-18,77.9400,78.0600,71.1200,71.5000,47.6667,2259000
2000-02-22,73.0000,73.8700,67.0000,71.6200,47.7467,2065800
2000-02-23,71.1200,76.2500,69.2500,72.0000,48.0000,2079500
2000-02-24,74.1200,74.2500,70.0000,70.5000,47.0000,1198000
2000-02-25,69.7500,71.0000,67.2500,68.3700,45.5800,1719400
2000-02-28,65.7500,66.1200,61.0000,63.5600,42.3734,2312400
2000-02-29,63.9400,65.7500,60.5000,60.6900,40.4600,2082200
2000-03-01,60.3100,60.5000,55.2500,55.7500,37.1667,3701700
2000-03-02,54.1300,66.3100,53.7500,63.7800,42.5200,5230600
2000-03-03,67.8700,71.6900,65.5000,70.6200,47.0800,4759800
2000-03-06,69.7500,70.5000,64.0000,65.6900,43.7934,2282700
2000-03-07,66.0600,67.5000,61.0000,61.0000,40.6667,1638000
2000-03-08,63.2500,64.0000,59.8100,60.5000,40.3334,1756600
2000-03-09,63.7500,68.7500,61.5000,68.0000,45.3334,3949100
2000-03-10,69.6200,75.5000,69.5600,71.1200,47.4134,4311200
2000-03-13,65.8700,77.9400,65.1200,75.8100,50.5400,4125100
2000-03-14,79.5600,79.5600,68.6200,69.1200,46.0800,2626500
2000-03-15,69.7500,71.5000,65.0000,65.9700,43.9800,1625200
2000-03-16,67.9400,68.1200,61.5000,65.0000,43.3334,1863000
2000-03-17,65.5000,66.7500,62.6300,62.8800,41.9200,1355400
2000-03-20,63.6900,64.0000,58.3800,59.2500,39.5000,2311400
2000-03-21,58.7500,59.6300,56.0000,57.1900,38.1267,1519600
2000-03-22,57.6900,59.2500,55.5000,58.0000,38.6667,2636400
2000-03-23,57.8800,61.1900,56.8800,57.5000,38.3334,2056300
2000-03-24,59.5000,61.1300,58.0000,60.5000,40.3334,2064800
2000-03-27,62.7500,64.0600,56.1300,56.6300,37.7534,3859800
2000-03-28,55.8800,56.5000,49.5000,50.1300,33.4200,4568400
2000-03-29,50.7000,50.7000,43.6300,44.1300,29.4200,6502500
2000-03-30,41.7500,43.0000,39.6300,40.2500,26.8333,6070600
2000-03-31,42.7500,43.7500,39.0000,42.3800,28.2533,2592600
2000-04-03,43.2500,46.6900,40.3800,42.1300,28.0867,4021500
2000-04-04,47.3100,47.3800,33.0000,41.4400,27.6267,5059200
2000-04-05,39.6300,45.3100,38.2500,40.9400,27.2933,2613000
2000-04-06,41.3800,43.0000,40.0000,40.4400,26.9600,1893000
2000-04-07,41.1300,41.3800,37.2500,38.1300,25.4200,2516100
2000-04-10,38.5000,38.6300,33.6900,34.3800,22.9200,2620300
2000-04-11,33.0600,38.1300,31.2500,31.8700,21.2467,1847600
2000-04-12,32.9400,33.4400,26.7500,27.1200,18.0800,2618000
2000-04-13,28.8100,32.5000,26.5600,28.0000,18.6667,3224900
2000-04-14,28.1900,28.5000,23.0000,24.1200,16.0800,3208000
2000-04-17,23.5000,26.1200,22.0000,24.2500,16.1667,3355000
2000-04-18,24.7500,30.0000,24.3700,29.5000,19.6667,2630100
2000-04-19,31.7500,31.7500,27.7500,28.0000,18.6667,1860600
2000-04-20,28.7500,28.7500,25.2500,26.2500,17.5000,1149900
2000-04-24,27.7500,29.6900,26.0000,26.7500,17.8333,3069400
2000-04-25,29.8700,30.0000,27.9800,28.0600,18.7067,2769200
2000-04-26,28.8700,29.0000,26.7500,27.3700,18.2467,1429400
2000-04-27,25.7500,26.5000,25.3700,25.8700,17.2467,1681900
2000-04-28,27.0000,27.0000,24.8700,25.0600,16.7067,3167700
2000-05-01,29.3100,29.8700,26.7500,27.8700,18.5800,6318900
2000-05-02,28.4400,28.8700,27.0000,27.3700,18.2467,3148600
2000-05-03,27.5000,27.8100,25.1200,26.0000,17.3333,1851700
2000-05-04,26.6900,27.1200,24.9400,25.1900,16.7933,1771300
2000-05-05,24.9400,26.3700,24.6200,24.7500,16.5000,1228200
2000-05-08,24.7800,25.5000,23.6200,24.0600,16.0400,1284800
2000-05-09,24.5000,24.5000,20.0600,21.5600,14.3733,2767600
2000-05-10,21.2500,21.3700,19.9400,20.0000,13.3333,2690600
2000-05-11,21.5600,21.8100,20.5600,21.3100,14.2067,2165700
2000-05-12,21.8700,23.8700,21.4400,21.8100,14.5400,2261400
2000-05-15,22.4400,22.4400,20.5000,21.5600,14.3733,988100
2000-05-16,22.0600,22.7500,21.0000,22.0000,14.6667,1584600
2000-05-17,21.1200,21.4400,20.7500,21.2500,14.1667,1195700
2000-05-18,21.1200,21.2500,20.0000,20.2500,13.5000,1088600
2000-05-19,20.0000,20.0000,18.7500,19.1900,12.7933,1477400
2000-05-22,19.0600,19.2500,17.1200,18.1900,12.1267,1825600
2000-05-23,18.0000,18.1900,16.7500,16.7500,11.1667,1309800
2000-05-24,16.8700,17.0000,15.0000,15.7500,10.5000,2319500
2000-05-25,16.6200,18.5000,16.5000,16.7500,11.1667,3741900
2000-05-26,17.3600,17.3700,16.0000,16.3100,10.8733,1150900
2000-05-30,16.8700,17.1200,15.3800,15.8800,10.5867,1828800
2000-05-31,16.2500,16.8700,15.9400,16.0600,10.7067,1461300
2000-06-01,16.6900,18.1200,16.3700,17.9400,11.9600,2430100
2000-06-02,19.8700,20.3100,18.7500,19.1900,12.7933,2856400
2000-06-05,19.5600,24.8700,19.3100,24.0000,16.0000,8042800
2000-06-06,24.1200,24.4400,20.8100,21.0600,14.0400,4205000
2000-06-07,22.5000,25.8700,22.0000,24.7500,16.5000,9047200
2000-06-08,24.6200,24.7500,22.5600,23.2500,15.5000,3896200
2000-06-09,23.8700,24.0000,22.6200,23.0000,15.3333,1550600
2000-06-12,23.1900,23.5000,22.1200,22.5000,15.0000,1667800
2000-06-13,22.1200,22.1900,20.5000,21.8100,14.5400,1395400
2000-06-14,21.7500,24.6900,21.0000,22.5000,15.0000,2707500
2000-06-15,23.7500,24.7500,22.2500,23.3700,15.5800,2221700
2000-06-16,25.5000,25.6200,24.0000,25.0000,16.6667,6318500
2000-06-19,25.1200,26.2500,24.2500,25.3700,16.9133,5051800
2000-06-20,26.2500,32.6300,26.0000,30.1900,20.1267,26704600
2000-06-21,29.7500,33.7500,29.3300,31.8700,21.2467,24549900
2000-06-22,34.0000,36.0000,33.0600,34.1900,22.7933,20012600
2000-06-23,35.4400,35.5000,30.5600,31.3700,20.9133,8309900
2000-06-26,33.0600,33.2500,28.5000,29.8100,19.8733,6014800
2000-06-27,29.1900,29.3100,27.5000,27.6200,18.4133,7105200
2000-06-28,27.3700,29.7500,26.9400,27.9400,18.6267,5243800
2000-06-29,27.7500,27.8100,26.2500,27.3100,18.2067,3204000
2000-06-30,27.3700,27.5000,25.2500,27.0600,18.0400,4359200
2000-07-03,26.5000,27.0000,25.5600,25.9400,17.2933,1196200
2000-07-05,25.1200,25.2500,24.0000,24.0600,16.0400,2515600
2000-07-06,24.0600,25.5000,22.5600,25.0600,16.7067,4133800
2000-07-07,25.8700,26.0000,24.3700,24.6200,16.4133,1780200
2000-07-10,24.8700,26.1200,23.5600,23.6900,15.7933,3052300
2000-07-11,23.3100,23.4400,22.0000,22.1900,14.7933,2850400
2000-07-12,22.7500,23.6900,22.6200,23.0600,15.3733,2061600
2000-07-13,23.8700,24.7500,23.5600,24.5600,16.3733,3264100
2000-07-14,25.2500,25.5000,24.5000,25.0000,16.6667,3145400
2000-07-17,25.3700,28.8700,24.4400,28.6200,19.0800,6701800
2000-07-18,27.6200,27.9200,26.1200,26.9400,17.9600,3211600
2000-07-19,26.7500,27.1200,25.2500,25.3700,16.9133,1539500
2000-07-20,25.6200,26.6900,25.3700,25.5000,17.0000,1220900
2000-07-21,25.7500,26.3700,25.0600,25.3100,16.8733,1041200
2000-07-24,25.6200,25.9400,23.5000,23.7500,15.8333,1679000
2000-07-25,22.9400,22.9400,20.1200,20.8700,13.9133,4191300
2000-07-26,21.1200,21.6900,19.8700,20.0600,13.3733,2995600
2000-07-27,20.0000,20.0600,18.5000,18.9400,12.6267,1812900
2000-07-28,19.3700,19.5600,18.0000,18.1900,12.1267,1496800
2000-07-31,18.8100,19.0000,18.1200,18.7500,12.5000,1122200
2000-08-01,19.8700,20.0000,19.0000,19.2500,12.8333,1385000
2000-08-02,19.3100,19.7500,19.0000,19.4400,12.9600,902300
2000-08-03,18.5600,19.0000,18.0000,18.5000,12.3333,1579200
2000-08-04,18.7500,19.7500,18.6900,19.3700,12.9133,1388700
2000-08-07,19.5000,21.2500,19.4400,20.5600,13.7067,1763000
2000-08-08,20.5600,20.5600,19.5000,19.6900,13.1267,1787100
2000-08-09,21.0000,22.0000,19.8700,20.0600,13.3733,3982600
2000-08-10,20.4400,20.6200,19.1900,19.3700,12.9133,1086600
2000-08-11,19.6600,20.1900,19.2500,20.0600,13.3733,1440200
2000-08-14,21.0000,23.3100,20.5000,21.8100,14.5400,5961300
2000-08-15,24.0000,25.1900,23.0600,24.0000,16.0000,10325400
2000-08-16,25.5600,26.1200,24.7500,24.9400,16.6267,7464900
2000-08-17,24.7500,25.5000,22.5600,22.9400,15.2933,4249500
2000-08-18,23.5600,23.9400,23.1200,23.4400,15.6267,1870200
2000-08-21,23.2200,23.6900,22.4400,22.8100,15.2067,2218500
2000-08-22,22.8700,23.0600,22.5000,22.8100,15.2067,1222600
2000-08-23,22.1900,23.0000,22.1200,22.8100,15.2067,1319400
2000-08-24,25.6200,25.7500,24.5600,24.7500,16.5000,4590300
2000-08-25,24.8100,25.0000,23.6200,24.1900,16.1267,1661400
2000-08-28,24.4400,24.5600,24.1900,24.2500,16.1667,1317400
2000-08-29,24.3100,24.5600,23.7500,24.1200,16.0800,1016900
2000-08-30,24.9400,25.5600,24.6200,25.4400,16.9600,4215500
2000-08-31,25.8700,27.1200,25.0000,25.1200,16.7467,4193200
2000-09-01,26.0200,27.0000,25.0600,26.6900,17.7933,4220900
2000-09-05,26.7500,28.0000,25.6900,27.1900,18.1267,4067900
2000-09-06,27.3400,27.6200,25.1200,25.6900,17.1267,2470700
2000-09-07,25.6900,25.7500,24.0000,24.4400,16.2933,2115900
2000-09-08,25.1900,25.4400,24.0000,24.1200,16.0800,2295500
2000-09-11,24.0900,24.2500,22.8700,22.9400,15.2933,1876000
2000-09-12,23.4100,24.3700,23.0000,23.3100,15.5400,1895700
2000-09-13,23.0600,24.2500,22.8100,24.1200,16.0800,1444100
2000-09-14,24.5600,25.9400,24.3700,25.2500,16.8333,3698100
2000-09-15,23.3700,23.7500,21.0000,21.1900,14.1267,5554000
2000-09-18,20.8100,21.0000,19.0000,19.1200,12.7467,3254200
2000-09-19,19.6900,21.2500,19.6200,21.0000,14.0000,4387400
2000-09-20,21.1200,21.1900,19.7500,20.1200,13.4133,2030500
2000-09-21,20.0300,20.1200,19.3700,19.3700,12.9133,1019300
2000-09-22,18.5300,19.6900,18.3100,19.5000,13.0000,1837800
2000-09-25,20.1600,20.5000,19.1200,19.6900,13.1267,1817100
2000-09-26,19.7500,20.1900,18.2500,18.5000,12.3333,1887100
2000-09-27,18.8700,19.2500,17.7500,17.8100,11.8733,1858900
2000-09-28,17.6200,18.6200,17.2500,18.0000,12.0000,2059400
2000-09-29,18.1200,18.2500,16.5600,17.0600,11.3733,2744600
2000-10-02,17.2200,17.6200,16.3100,16.6200,11.0800,1277100
2000-10-03,16.9400,17.3700,15.4400,15.6900,10.4600,1761500
2000-10-04,15.9100,15.9400,15.0000,15.3100,10.2067,2538100
2000-10-05,15.2500,16.1900,15.2500,15.6900,10.4600,1521200
2000-10-06,15.9700,16.5000,14.0000,14.6300,9.7533,2015100
2000-10-09,14.7200,14.8800,13.3800,14.3100,9.5400,1581900
2000-10-10,14.2800,15.0600,13.9400,14.0000,9.3333,1262400
2000-10-11,13.1300,13.6300,12.2500,12.6900,8.4600,1980500
2000-10-12,13.0600,13.1300,11.2500,11.3100,7.5400,2192200
2000-10-13,10.7500,14.9400,10.6300,14.5600,9.7067,3666800
2000-10-16,14.8100,16.0000,14.6900,15.0000,10.0000,2195900
2000-10-17,15.1900,15.3800,12.8800,13.5000,9.0000,1486400
2000-10-18,12.3100,14.0600,12.0000,13.6300,9.0867,1672600
2000-10-19,14.3800,14.7500,13.8100,14.3100,9.5400,898300
2000-10-20,14.3100,14.6300,13.6900,14.0600,9.3733,975400
2000-10-23,14.0000,14.2500,13.0600,13.6300,9.0867,715600
2000-10-24,13.6300,14.1300,12.8800,13.0000,8.6667,1041500
2000-10-25,12.6300,12.7500,12.0600,12.1300,8.0867,982100
2000-10-26,12.2200,13.1300,12.0000,12.5600,8.3733,972300
2000-10-27,13.0000,13.3800,12.0000,12.5000,8.3333,1406400
2000-10-30,12.4700,12.8100,11.6900,11.8800,7.9200,1231200
2000-10-31,12.3400,12.7500,11.7500,12.5000,8.3333,1936200
2000-11-01,12.3100,15.5000,12.2500,15.3100,10.2067,6650300
2000-11-02,16.2500,18.0000,15.5000,17.8700,11.9133,7337400
2000-11-03,18.5000,18.5000,16.4400,17.0000,11.3333,3330900
2000-11-06,14.9400,16.4400,14.5000,15.6900,10.4600,4716300
2000-11-07,15.0000,15.0600,13.8800,14.0000,9.3333,4317300
2000-11-08,14.1900,15.2500,14.0600,14.8800,9.9200,2226700
2000-11-09,14.6900,14.7500,12.1300,12.5000,8.3333,3629300
2000-11-10,12.2200,12.4400,11.4400,11.5000,7.6667,3110400
2000-11-13,11.5600,11.6300,10.7500,11.1300,7.4200,2572500
2000-11-14,12.3400,12.5000,11.7500,12.1900,8.1267,1822100
2000-11-15,12.4700,12.5000,11.3800,11.6300,7.7533,2065900
2000-11-16,11.4400,11.7500,10.5600,10.8100,7.2067,1820300
2000-11-17,11.2500,11.2500,9.6300,9.8400,6.5600,4455400
2000-11-20,9.7500,9.7500,7.9400,8.0300,5.3533,4703600
2000-11-21,8.6900,9.1300,7.5600,7.8100,5.2067,3740600
2000-11-22,7.5600,7.6100,6.5600,6.7800,4.5200,2773000
2000-11-24,7.7500,8.1300,7.6300,7.9400,5.2933,2104900
2000-11-27,9.0600,9.2500,7.8800,8.2200,5.4800,2575800
2000-11-28,8.0000,8.0000,7.0000,7.0300,4.6867,2390600
2000-11-29,7.1600,7.2500,6.5300,6.5300,4.3533,2732900
2000-11-30,6.3100,6.4400,5.9700,6.2500,4.1667,2852300
2000-12-01,6.6900,7.3100,6.3800,6.5600,4.3733,3220600
2000-12-04,6.8400,6.9400,6.0300,6.3400,4.2267,2221200
2000-12-05,6.7800,6.8800,6.0000,6.2200,4.1467,3653300
2000-12-06,6.3100,6.3100,5.1300,5.3400,3.5600,4018400
2000-12-07,5.3100,5.3400,5.0000,5.1300,3.4200,2371200
2000-12-08,5.8800,6.2200,5.5000,5.9400,3.9600,2859400
2000-12-11,6.1900,7.3800,6.0600,7.1900,4.7933,4455500
2000-12-12,7.7500,9.0000,7.2500,8.4200,5.6133,5912000
2000-12-13,9.3800,10.6300,8.8800,9.2500,6.1667,8975800
2000-12-14,9.2500,9.6300,8.0000,8.6900,5.7933,4033300
2000-12-15,8.8800,9.7500,8.0000,8.6300,5.7533,7215900
