,open,high,low,close,adj_close,volume
1998-01-02,39.9400,40.0000,38.6300,38.8100,8.5909,89867
1998-01-05,38.9400,39.9400,38.5600,39.9400,8.8410,126785
1998-01-06,39.9400,40.2500,39.4400,39.9400,8.8410,68800
1998-01-07,39.9400,39.9400,38.3100,38.5000,8.5222,73778
1998-01-08,38.5000,38.8800,38.0000,38.2500,8.4669,54963
1998-01-09,38.2500,38.2500,35.7500,35.7500,7.9135,98163
1998-01-12,35.1300,35.1300,33.5000,35.0000,7.7475,139230
1998-01-13,35.2500,37.3100,35.2500,37.2500,8.2455,91852
1998-01-14,37.2500,37.2500,36.0600,36.9400,8.1769,44267
1998-01-15,36.9400,36.9400,35.5600,35.6900,7.9002,76385
1998-01-16,35.3100,36.0000,35.3100,35.7500,7.9135,91378
1998-01-20,35.9400,36.0000,34.6300,35.2500,7.8028,146578
1998-01-21,35.0600,35.1300,34.2500,34.5000,7.6368,113452
1998-01-22,33.8800,33.8800,33.2500,33.4400,7.4022,140444
1998-01-23,33.3100,33.6900,32.6300,32.6900,7.2361,110400
1998-01-26,32.8100,33.2500,32.4400,32.4400,7.1808,63230
1998-01-27,32.5000,32.9400,32.4400,32.6300,7.2229,65985
1998-01-28,32.5600,34.3800,32.5600,34.1300,7.5549,116385
1998-01-29,34.1900,34.8800,34.1900,34.8800,7.7209,39644
1998-01-30,34.8800,34.8800,34.3100,34.6300,7.6656,32652
1998-02-02,34.8800,35.8800,34.8800,35.4400,7.8449,47852
1998-02-03,35.5000,36.1300,35.3800,35.8100,7.9268,76978
1998-02-04,35.7500,36.3800,35.3800,36.1300,7.9976,62400
1998-02-05,36.2500,37.0000,36.0000,36.6300,8.1083,50785
1998-02-06,36.5000,37.1300,36.5000,37.0000,8.1902,38785
1998-02-09,36.8800,37.1300,36.6300,36.8800,8.1636,85452
1998-02-10,36.7500,38.0000,36.7500,38.0000,8.4116,89067
1998-02-11,38.0000,39.1300,37.8100,39.1300,8.6617,140800
1998-02-12,39.2500,39.5000,38.5000,38.7500,8.5776,89867
1998-02-13,38.6300,38.9400,38.3100,38.9400,8.6196,62252
1998-02-17,38.8800,39.8100,38.6300,39.5600,8.7569,108030
1998-02-18,39.6900,40.1900,39.6900,40.1900,8.8963,112267
1998-02-19,39.9400,40.0600,39.4400,39.9400,8.8410,50430
1998-02-20,39.7500,40.1300,39.6900,40.1300,8.8830,49363
1998-02-23,40.1900,40.5000,40.0600,40.5000,8.9649,40267
1998-02-24,40.2500,40.4400,39.5600,39.9400,8.8410,71052
1998-02-25,39.9400,40.3800,39.8800,40.3800,8.9384,40444
1998-02-26,40.5000,40.5000,39.7500,39.8800,8.8277,78044
1998-02-27,39.7500,39.9400,39.6300,39.8800,8.8277,26578
1998-03-02,39.9400,40.6300,39.4400,39.6300,8.7724,114252
1998-03-03,39.5600,40.5000,39.2500,40.0000,8.8543,66252
1998-03-04,40.2500,40.3800,39.1900,39.1900,8.6750,44652
1998-03-05,39.0000,39.3800,38.5000,38.6900,8.5643,45185
1998-03-06,38.6900,40.3100,38.6900,40.1900,8.9096,105778
1998-03-09,40.1900,40.6900,39.7500,39.7500,8.8121,60563
1998-03-10,39.7500,40.6900,39.5600,40.6300,9.0071,54667
1998-03-11,40.6300,41.5600,40.5000,40.8100,9.0471,91230
1998-03-12,40.8800,41.3800,40.5600,41.0000,9.0892,71230
1998-03-13,41.1300,41.8100,40.2500,40.3100,8.9362,45630
1998-03-16,40.3100,41.3800,40.3100,41.3100,9.1579,75230
1998-03-17,41.2500,42.2500,41.0000,41.5000,9.2000,175378
1998-03-18,41.6900,43.0000,41.6900,42.8800,9.5059,225600
1998-03-19,42.7500,43.2500,42.1900,42.5000,9.4217,102785
1998-03-20,42.5000,42.9400,42.5000,42.8800,9.5059,55852
1998-03-23,42.7500,42.8800,42.3800,42.5600,9.4350,88652
1998-03-24,42.3100,43.1900,42.3100,43.1300,9.5614,69452
1998-03-25,43.3800,43.6900,43.0000,43.3800,9.6168,74785
1998-03-26,43.5000,43.5000,42.5000,42.8800,9.5059,158252
1998-03-27,43.1300,43.2500,42.2500,42.7500,9.4771,59585
1998-03-30,42.5000,42.6300,41.8100,42.3100,9.3796,72444
1998-03-31,42.2500,43.5600,42.2500,43.5600,9.6567,120000
1998-04-01,43.5600,43.8800,43.2500,43.8800,9.7276,59467
1998-04-02,43.8800,44.7500,43.8100,44.5000,9.8651,45185
1998-04-03,30.3800,30.8800,30.1300,30.5600,10.1621,92711
1998-04-06,31.3800,32.6300,31.2500,32.1300,10.6842,243244
1998-04-07,32.5000,32.5000,30.8100,31.0000,10.3085,123378
1998-04-08,30.8800,33.7500,30.8800,33.5000,11.1398,202578
1998-04-09,34.5000,35.7500,33.2500,35.1900,11.7018,282000
1998-04-13,36.0600,36.5000,34.6300,34.6900,11.5355,224978
1998-04-14,34.6900,35.1300,34.2500,34.8100,11.5754,158000
1998-04-15,34.6300,34.6300,33.0600,33.0600,10.9935,117467
1998-04-16,32.6900,32.7500,31.6900,31.8100,10.5778,129778
1998-04-17,31.8100,33.1300,31.8100,33.0600,10.9935,105067
1998-04-20,33.5000,33.7500,32.6300,33.3100,11.0766,106444
1998-04-21,33.5600,33.7500,33.0000,33.4400,11.1198,50800
1998-04-22,33.4400,33.8800,33.0000,33.8800,11.2661,76444
1998-04-23,33.7500,33.7500,33.0600,33.0600,10.9935,66400
1998-04-24,33.0000,33.0000,32.0000,32.1900,10.7042,59244
1998-04-27,31.0000,31.2500,30.3100,30.6900,10.2054,107600
1998-04-28,31.0000,31.5000,30.3100,31.2500,10.3916,109644
1998-04-29,31.2500,31.6300,31.0000,31.5000,10.4747,35067
