,open,high,low,close,adj_close,volume
1998-01-02,23.7500,24.2500,23.5600,24.0000,20.5013,426300
1998-01-05,24.2500,25.1300,23.8800,24.6300,21.0395,1209700
1998-01-06,24.2500,24.5000,24.1300,24.3800,20.8259,198500
1998-01-07,24.1300,24.2500,23.6300,24.1300,20.6124,355200
1998-01-08,24.1300,24.4400,23.8800,24.1300,20.6124,416000
1998-01-09,23.8800,24.0000,23.3800,23.4400,20.0230,157000
1998-01-12,23.0600,23.1900,22.6300,23.0000,19.6471,419100
1998-01-13,23.0000,23.5600,22.8800,23.2500,19.8607,419900
1998-01-14,23.5000,24.7500,23.5000,24.7500,21.1420,380300
1998-01-15,24.7500,25.2500,24.5000,24.6300,21.0395,317100
1998-01-16,24.6300,25.5600,24.5000,25.0600,21.4068,291600
1998-01-20,25.0000,25.8800,24.9400,25.8800,22.1073,300300
1998-01-21,25.7500,26.3800,25.0000,26.2500,22.4233,236100
1998-01-22,26.2500,26.4400,25.6900,26.1300,22.3208,417300
1998-01-23,25.8100,25.8800,24.5600,25.1300,21.4666,403900
1998-01-26,25.0000,26.0000,24.5000,25.8100,22.0475,136600
1998-01-27,25.5600,25.8100,25.0000,25.3800,21.6802,251300
1998-01-28,24.7500,25.1900,24.7500,25.1900,21.5179,242100
1998-01-29,25.1900,25.8100,24.6300,25.3800,21.6802,503600
1998-01-30,25.6300,25.8800,25.3800,25.7500,21.9962,477700
1998-02-02,27.0000,27.9400,26.5600,27.6300,23.6022,1353900
1998-02-03,27.6300,27.8100,25.5000,26.8100,22.9017,1114400
1998-02-04,26.6900,27.0600,26.3100,27.0600,23.1153,401600
1998-02-05,27.0600,27.2500,26.5000,26.8800,22.9615,212500
1998-02-06,26.8800,27.0000,26.6900,26.8800,22.9615,368700
1998-02-09,26.8800,27.1300,26.5000,27.1300,23.1751,216900
1998-02-10,27.0600,27.1900,26.7500,27.0600,23.1153,383000
1998-02-11,26.6300,27.1300,26.6300,27.1300,23.1751,231500
1998-02-12,27.1300,27.8800,26.9400,27.8100,23.7559,240800
1998-02-13,27.4400,27.6300,27.2500,27.5000,23.4911,146100
1998-02-17,27.2500,27.5000,27.2500,27.3800,23.3886,165300
1998-02-18,27.2500,27.5000,26.6900,27.0000,23.0640,275600
1998-02-19,27.0000,27.8800,26.6300,27.6300,23.6022,374300
1998-02-20,27.5000,28.9400,27.4400,28.4400,24.2941,516000
1998-02-23,28.1900,28.4400,27.6900,28.0000,23.9182,273700
1998-02-24,27.9400,28.5600,27.8800,28.1300,24.0293,279200
1998-02-25,28.0000,29.0000,28.0000,28.4400,24.2941,223700
1998-02-26,28.6300,28.7500,28.3800,28.5600,24.3966,131400
1998-02-27,28.2500,28.5000,27.7500,28.2500,24.1318,256300
1998-03-02,28.0600,28.4400,27.9400,28.0000,23.9182,330700
1998-03-03,27.7500,28.1900,27.3800,27.8800,23.8157,128900
1998-03-04,27.6300,28.0000,27.6300,28.0000,23.9182,113700
1998-03-05,27.4400,28.1900,27.4400,27.7500,23.7047,152100
1998-03-06,27.7500,28.0600,27.5000,28.0000,23.9182,211200
1998-03-09,28.1900,28.4400,27.8800,28.3100,24.1830,89900
1998-03-10,28.3100,29.8800,28.3100,29.4400,25.1483,420200
1998-03-11,29.5000,29.5000,28.9400,29.1300,24.8835,150100
1998-03-12,29.2500,30.5000,28.7500,29.8800,25.5242,463500
1998-03-13,30.1300,30.3100,29.5000,29.6300,25.3106,340000
1998-03-16,30.1300,30.7500,30.0600,30.4400,26.0025,288300
1998-03-17,29.6300,29.8800,29.0000,29.3800,25.0971,326800
1998-03-18,29.2500,29.3100,28.8100,29.2500,24.9860,601600
1998-03-19,29.2500,30.6300,29.1900,30.2500,25.8402,518700
1998-03-20,30.3800,30.6900,29.8100,29.8800,25.5242,245500
1998-03-23,29.8800,30.6900,29.6900,30.1900,25.7890,217200
1998-03-24,30.4400,30.9400,30.2500,30.8100,26.3186,194500
1998-03-25,31.0000,31.0000,30.1300,30.2500,25.8402,166300
1998-03-26,30.0000,30.1900,29.5000,30.1900,25.7890,192600
1998-03-27,30.0000,30.0000,29.6300,29.8800,25.5242,121400
1998-03-30,29.5000,30.2500,29.5000,29.9400,25.5754,492700
1998-03-31,29.7500,30.1900,29.6900,30.0600,25.6779,525000
1998-04-01,30.0600,30.1900,29.6300,29.9400,25.5754,218000
1998-04-02,30.0000,30.0600,29.3800,29.3800,25.0971,79300
