,open,high,low,close,adj_close,volume
1998-01-02,28.2500,28.2500,28.0000,28.0000,1.5447,1800
1998-01-05,27.7500,28.2500,27.7500,28.0000,1.5447,3500
1998-01-06,28.5000,28.7500,28.0000,28.0000,1.5447,91100
1998-01-07,28.0000,28.7500,28.0000,28.0000,1.5447,3500
1998-01-08,28.0000,28.7500,28.0000,28.2500,1.5585,49800
1998-01-09,28.0000,28.5000,28.0000,28.0000,1.5447,2700
1998-01-12,27.7500,28.5000,27.7500,28.5000,1.5722,46100
1998-01-13,27.7500,28.5000,27.7500,28.5000,1.5722,45500
1998-01-14,27.7500,28.5000,27.7500,28.5000,1.5722,1400
1998-01-15,27.7500,28.5000,27.7500,28.5000,1.5722,4500
1998-01-16,27.7500,29.2500,27.7500,28.7500,1.5860,71300
1998-01-20,29.2500,29.5000,28.7500,29.3800,1.6208,49300
1998-01-21,29.7500,29.7500,29.2500,29.2500,1.6136,21500
1998-01-22,29.2500,29.7500,29.2500,29.2500,1.6136,1100
1998-01-23,29.7500,30.1200,29.5600,30.1200,1.6616,14200
1998-01-26,29.7500,30.1200,29.5000,29.5000,1.6274,1400
1998-01-27,29.5000,30.0000,29.5000,29.5000,1.6274,3700
1998-01-28,30.2500,31.7500,30.2500,31.7500,1.7515,10200
1998-01-29,31.7500,31.8800,31.7500,31.8800,1.7587,1800
1998-01-30,32.2500,32.5000,31.5000,32.3800,1.7863,3200
1998-02-02,35.0000,35.0000,32.0000,33.2500,1.8343,33100
1998-02-03,32.2500,33.0000,32.0000,32.0000,1.7653,9500
1998-02-04,32.0000,33.2500,32.0000,32.5000,1.7929,4600
1998-02-05,33.2500,33.2500,32.5000,33.2500,1.8343,3200
1998-02-06,33.2500,34.0000,33.0000,33.5200,1.8492,19600
1998-02-09,33.2500,34.2500,33.2500,34.0000,1.8757,51100
1998-02-10,33.5000,34.2500,33.0000,33.0200,1.8216,6000
1998-02-11,33.2500,34.0000,33.0000,33.0000,1.8205,9900
1998-02-12,32.7500,33.7500,32.7500,33.7500,1.8619,9300
1998-02-13,33.7500,34.2500,33.7500,33.8800,1.8690,5200
1998-02-17,34.2500,34.2500,33.2500,34.0000,1.8757,12000
1998-02-18,34.0000,34.0000,33.5000,34.0000,1.8757,4000
1998-02-19,33.2500,34.0000,33.2500,34.0000,1.8757,2700
1998-02-20,34.0000,34.0000,33.2500,33.2500,1.8343,1700
1998-02-23,33.2500,33.5000,32.7500,33.0000,1.8205,38500
1998-02-24,32.7500,33.5000,32.7500,33.0200,1.8216,5000
1998-02-25,32.7500,33.6200,32.7500,33.1200,1.8271,7200
1998-02-26,33.0000,33.3800,33.0000,33.3800,1.8415,1300
1998-02-27,33.0000,34.0000,33.0000,34.0000,1.8757,6200
1998-03-02,33.5000,34.0000,33.3800,33.3800,1.8415,1800
1998-03-03,33.5000,33.7500,33.2500,33.7500,1.8619,6500
1998-03-04,33.7500,33.7500,33.7500,33.7500,1.8619,1000
1998-03-05,33.0000,33.0000,32.0000,33.0000,1.8205,18100
1998-03-06,33.0000,33.1200,33.0000,33.1200,1.8271,2600
1998-03-09,32.5000,33.1200,32.2500,32.3800,1.7863,700
1998-03-10,32.5000,32.7500,32.0000,32.5000,1.7929,38600
1998-03-11,32.5000,32.7500,32.5000,32.5000,1.7929,35700
1998-03-12,33.0000,33.0000,32.2500,33.0000,1.8205,13300
1998-03-13,32.2500,33.0000,32.2500,32.8800,1.8139,51300
1998-03-16,33.0000,33.0000,32.0000,33.0000,1.8205,75600
1998-03-17,32.3800,33.0000,32.3800,33.0000,1.8205,66600
1998-03-18,32.3800,33.0000,32.3800,32.3800,1.7863,25300
1998-03-19,33.0000,33.0000,32.3800,33.0000,1.8205,17000
1998-03-20,33.0000,33.0000,32.3800,32.5000,1.7929,64300
1998-03-23,33.0000,33.0000,32.3800,32.3800,1.7863,1300
1998-03-24,33.0000,33.0000,32.0000,32.0000,1.7653,15500
1998-03-25,32.2500,32.2500,29.2500,30.5000,1.6826,27600
1998-03-26,30.3800,32.0000,30.3800,31.2500,1.7240,65200
1998-03-27,32.0000,35.0000,31.2500,35.0000,1.9308,123700
1998-03-30,35.5000,36.5000,35.0000,35.0000,1.9308,94300
1998-03-31,34.8800,35.5000,34.5000,35.5000,1.9584,47600
1998-04-01,35.5000,35.8800,35.5000,35.5000,1.9584,6100
1998-04-02,35.2500,38.0600,34.2500,37.2500,2.0549,184600
1998-04-03,37.7500,37.7500,36.7500,37.5000,2.0687,19800
1998-04-06,37.2500,38.5000,37.2500,37.8800,2.0897,103600
1998-04-07,37.7500,38.5000,37.7500,37.7500,2.0825,32200
1998-04-08,38.2500,38.2500,37.7500,37.8800,2.0897,12100
1998-04-09,38.2500,38.2500,37.7500,37.7500,2.0825,22500
1998-04-13,37.7500,38.5000,37.7500,37.7500,2.0825,12300
1998-04-14,38.7500,39.0000,37.7500,37.7500,2.0825,34000
1998-04-15,37.8800,38.7500,37.7500,37.7500,2.0825,3900
1998-04-16,39.0000,39.5000,38.5000,38.5000,2.1239,31800
1998-04-17,39.0000,39.0000,38.5000,38.8800,2.1449,12500
1998-04-20,38.5000,39.2500,38.2500,38.6200,2.1305,20800
1998-04-21,38.7500,39.0000,38.1200,39.0000,2.1515,16200
1998-04-22,39.0000,39.3800,38.5000,39.0000,2.1515,46800
1998-04-23,39.6200,39.6200,39.0000,39.2700,2.1664,9700
1998-04-24,39.1200,39.6200,39.1200,39.5000,2.1791,10800
1998-04-27,40.0000,40.2500,39.2500,39.7500,2.1929,55800
1998-04-28,40.0000,40.0000,39.2500,40.0000,2.2067,3200
1998-04-29,39.5000,40.0000,39.3100,39.8100,2.1962,52100
1998-04-30,40.0000,40.0000,39.2500,39.5600,2.1824,39600
1998-05-01,39.5000,39.5000,39.0000,39.2500,2.1653,448400
1998-05-04,39.7500,39.7500,39.0000,39.5000,2.1791,173500
1998-05-05,39.5000,39.5000,39.0000,39.5000,2.1791,18500
1998-05-06,39.5000,39.5000,38.5000,39.5000,2.1791,35600
1998-05-07,39.0000,39.5000,39.0000,39.5000,2.1791,2500
1998-05-08,39.0000,39.4400,39.0000,39.1900,2.1620,4200
1998-05-11,39.1200,40.0000,39.1200,40.0000,2.2067,31700
1998-05-12,40.0000,40.0000,39.2500,39.6200,2.1857,5000
1998-05-13,39.2500,40.0000,39.2500,39.6200,2.1857,8900
1998-05-14,39.7500,40.6200,39.2500,40.6200,2.2409,23100
1998-05-15,40.7500,41.7500,40.2500,40.5600,2.2375,42200
1998-05-18,40.2500,41.7500,40.2500,40.5000,2.2342,22400
1998-05-19,40.7500,40.7500,39.3800,39.3800,2.1725,17400
1998-05-20,39.2500,39.7500,39.0000,39.1200,2.1581,27700
1998-05-21,39.1200,39.1200,37.7500,38.2500,2.1101,38500
1998-05-22,38.0000,38.0000,37.7500,37.9400,2.0930,2400
1998-05-26,37.0000,38.0000,37.0000,37.0000,2.0412,9600
1998-05-27,37.3100,37.3100,35.5000,36.5000,2.0136,16000
1998-05-28,35.7500,36.2500,35.5000,35.5000,1.9584,11600
1998-05-29,36.0000,36.2500,35.2500,35.5000,1.9584,14700
1998-06-01,35.2500,36.5000,35.2500,35.5600,1.9617,39500
1998-06-02,36.2500,36.2500,36.0000,36.2500,1.9998,7500
1998-06-03,36.1200,36.1200,36.0000,36.1200,1.9926,8100
1998-06-04,36.1200,36.3800,35.2500,35.2500,1.9446,32900
1998-06-05,36.0000,36.2500,35.2500,36.0000,1.9860,8300
1998-06-08,35.5000,36.5000,35.5000,36.1200,1.9926,8200
1998-06-09,35.7500,36.1900,35.7500,36.1200,1.9926,55700
1998-06-10,36.0000,36.4400,36.0000,36.4400,2.0103,6400
1998-06-11,36.4400,36.4400,36.0000,36.4400,2.0103,3800
1998-06-12,36.5000,36.5000,35.7500,36.5000,2.0136,11700
1998-06-15,36.4400,36.5000,36.0000,36.5000,2.0136,3600
1998-06-16,36.2500,37.2500,35.7500,37.2500,2.0549,26000
1998-06-17,37.2500,38.7500,37.0000,38.6200,2.1305,14700
1998-06-18,38.7500,39.2500,38.6200,39.2500,2.1653,9600
1998-06-19,38.6200,40.0000,38.6200,39.0000,2.1515,14700
1998-06-22,39.5600,40.7500,39.0000,40.0000,2.2067,33800
1998-06-23,41.0000,43.0000,41.0000,41.2500,2.2756,39000
1998-06-24,41.0000,42.7500,41.0000,42.7500,2.3584,37700
1998-06-25,43.2500,44.5000,42.7500,43.2500,2.3859,165000
1998-06-26,44.0000,44.6200,43.6200,44.0600,2.4306,140900
1998-06-29,44.5000,45.0000,43.5000,43.5000,2.3997,134700
1998-06-30,43.7500,45.5600,43.5000,45.5600,2.5134,86700
1998-07-01,45.2500,45.2500,44.0000,45.2500,2.4963,37900
1998-07-02,45.5000,46.2500,45.0000,46.2500,2.5514,40100
1998-07-06,46.0000,46.8800,46.0000,46.8800,2.5862,28900
1998-07-07,47.0000,48.5000,47.0000,47.5000,2.6204,160100
1998-07-08,48.0000,48.0000,47.2500,47.2500,2.6066,96900
1998-07-09,47.2500,49.3800,47.2500,48.2500,2.6618,176400
1998-07-10,47.7500,48.5000,47.5000,48.2500,2.6618,78300
1998-07-13,48.0000,48.5000,47.5000,47.5600,2.6237,39000
