,open,high,low,close,adj_close,volume
1998-01-02,52.0000,53.9400,51.5000,53.7500,10.7341,601800
1998-01-05,53.7500,53.9400,51.8100,52.9400,10.5723,732000
1998-01-06,53.1300,53.6300,53.1300,53.5600,10.6962,566800
1998-01-07,52.7500,53.1300,51.8800,52.0000,10.3846,664600
1998-01-08,51.7500,51.9400,49.6300,50.8800,10.1610,815700
1998-01-09,50.8800,51.0000,48.6300,48.7500,9.7356,819800
1998-01-12,48.3800,50.1300,48.3800,48.9400,9.7735,755800
1998-01-13,49.0600,50.7500,49.0600,50.6300,10.1110,443200
1998-01-14,50.6300,51.1900,50.3800,50.9400,10.1729,420700
1998-01-15,50.7500,52.0000,50.6900,51.6300,10.3107,603600
1998-01-16,51.2500,52.1900,51.2500,52.0000,10.3846,860100
1998-01-20,52.1900,53.3800,52.1900,52.8800,10.5604,963500
1998-01-21,52.3800,53.1300,51.5600,52.5600,10.4965,641000
1998-01-22,52.1900,52.7500,52.0000,52.5600,10.4965,688000
1998-01-23,52.1300,52.7500,52.0600,52.4400,10.4725,747100
1998-01-26,52.0000,52.6300,51.8800,52.6300,10.5104,599600
1998-01-27,52.1300,54.1900,52.0600,54.1300,10.8100,833100
1998-01-28,53.8100,54.4400,53.8100,54.0600,10.7960,984800
1998-01-29,53.8800,55.0000,53.8100,54.6900,10.9218,865600
1998-01-30,54.9400,55.9400,54.6900,55.8800,11.1595,923600
1998-02-02,55.6300,56.4400,55.5600,55.6900,11.1215,633300
1998-02-03,55.5600,56.1900,55.0600,56.0600,11.1954,719800
1998-02-04,56.0000,57.0000,55.7500,56.9400,11.3712,823400
1998-02-05,56.9400,58.0000,56.6900,57.7500,11.5329,767900
1998-02-06,57.6900,60.1300,57.6900,59.7500,11.9323,1268500
1998-02-09,59.9400,60.5000,59.6300,60.2500,12.0322,958300
1998-02-10,60.0000,60.3800,59.3100,59.4400,11.8704,966400
1998-02-11,59.5000,59.7500,58.6300,59.3800,11.8584,643400
1998-02-12,59.0000,59.6300,57.2500,59.5000,11.9333,565500
1998-02-13,59.5000,59.8800,58.6900,58.7500,11.7829,526100
1998-02-17,58.7500,59.3100,58.1900,58.7500,11.7829,462800
1998-02-18,58.5600,60.0000,58.4400,59.9400,12.0216,467800
1998-02-19,59.6900,59.7500,58.0000,59.3800,11.9093,696900
1998-02-20,59.8100,60.0000,59.5000,60.0000,12.0336,798600
1998-02-23,60.0000,60.0000,59.5000,59.8800,12.0095,484300
1998-02-24,59.3100,59.4400,56.6300,57.4400,11.5202,525300
1998-02-25,59.0000,60.5000,58.9400,59.8800,12.0095,666800
1998-02-26,59.7500,59.7500,58.6300,59.5600,11.9454,409400
1998-02-27,59.4400,60.5000,59.0600,60.5000,12.1339,505200
1998-03-02,60.5000,60.9400,59.0000,59.0000,11.8330,497600
1998-03-03,58.0600,58.4400,57.3100,57.8800,11.6084,763500
1998-03-04,58.1300,59.6900,57.8100,58.8800,11.8090,492900
1998-03-05,58.5000,59.1900,58.3100,58.5000,11.7328,424500
1998-03-06,58.5000,60.3800,58.5000,59.6300,11.9594,719400
1998-03-09,59.1300,59.5600,57.5600,58.0000,11.6325,605200
1998-03-10,58.0000,58.5000,57.0000,57.8100,11.5944,909100
1998-03-11,57.8100,59.8100,57.7500,59.5600,11.9454,666700
