,open,high,low,close,adj_close,volume
1998-01-02,28.3100,29.0000,27.8100,29.0000,12.5213,70200
1998-01-05,29.0000,29.0000,27.7500,27.7500,11.9816,41800
1998-01-06,27.5000,27.5000,25.8100,26.3100,11.3598,54600
1998-01-07,26.2500,27.9400,26.2500,27.9400,12.0895,45200
1998-01-08,27.9400,29.0000,27.9400,28.1300,12.1717,93700
1998-01-09,27.5000,27.5600,25.3100,25.6300,11.0900,74500
1998-01-12,25.3100,26.0000,25.2500,25.3100,10.9515,33900
1998-01-13,25.4400,26.1300,25.1900,25.8100,11.1679,54000
1998-01-14,25.9400,27.7500,25.9400,27.6900,11.9813,59200
1998-01-15,27.5000,27.7500,27.0000,27.0600,11.7087,32700
1998-01-16,27.3100,27.5000,27.0000,27.2500,11.7910,130800
1998-01-20,27.0000,27.2500,27.0000,27.1900,11.7650,67700
1998-01-21,27.1900,27.2500,27.0000,27.1900,11.7650,25100
1998-01-22,27.1900,27.2500,27.1300,27.1300,11.7390,38400
1998-01-23,27.0600,27.5600,27.0600,27.1300,11.7390,38600
1998-01-26,27.5000,27.5000,27.0600,27.3800,11.8472,21500
1998-01-27,27.1300,28.0000,27.1300,27.3100,11.8169,51100
1998-01-28,27.3100,29.2500,27.3100,28.9400,12.5222,62800
1998-01-29,29.0000,29.4400,28.9400,29.0000,12.5482,15300
1998-01-30,31.0000,31.0000,29.5000,29.8100,12.8987,218700
1998-02-02,29.8100,30.8800,29.8100,30.8800,13.3616,108500
1998-02-03,30.7500,30.9400,30.5600,30.9400,13.3876,17600
1998-02-04,30.9400,31.4400,30.5600,31.4400,13.6040,31100
1998-02-05,31.3100,31.7500,31.0000,31.5600,13.6559,213800
1998-02-06,31.1900,32.6300,31.1900,32.5600,14.0886,69800
1998-02-09,32.5600,33.3800,32.5600,33.2500,14.3871,72200
1998-02-10,33.1300,33.5000,32.8800,32.8800,14.2270,58600
1998-02-11,32.8800,32.8800,32.6300,32.6300,14.1189,16100
1998-02-12,32.2500,32.2500,31.1300,31.4400,13.6040,55400
1998-02-13,31.5600,31.5600,31.1300,31.4400,13.6040,39700
1998-02-17,31.4400,31.7500,30.0000,30.1300,13.0371,80900
1998-02-18,30.3800,31.4400,30.2800,31.2500,13.5217,44700
1998-02-19,31.3100,31.3100,26.7500,27.3800,11.8472,255500
1998-02-20,28.0000,28.5000,27.5600,28.4400,12.3059,364500
1998-02-23,28.4400,28.9400,28.2500,28.4400,12.3059,99600
1998-02-24,28.6900,29.3800,28.3800,29.3800,12.7126,87300
1998-02-25,29.3800,29.6300,29.1900,29.3800,12.7126,48200
1998-02-26,29.1900,29.4400,29.0600,29.4400,12.7386,22200
1998-02-27,29.4400,29.4400,29.0600,29.0600,12.5741,20500
1998-03-02,29.8100,30.2500,29.0600,29.4400,12.7386,37900
1998-03-03,29.5000,29.5000,29.0000,29.0600,12.5741,35500
1998-03-04,29.3100,29.3100,28.1300,28.7500,12.4400,86200
1998-03-05,28.6300,29.0000,28.4400,28.6300,12.3881,26300
1998-03-06,28.8800,28.8800,28.3800,28.5000,12.3318,31100
1998-03-09,28.5000,28.6300,28.4400,28.5600,12.3578,19100
1998-03-10,29.0000,29.1900,28.6300,28.9400,12.5222,63600
1998-03-11,29.0000,29.5000,28.6300,29.5000,12.7645,36700
1998-03-12,29.5000,29.5000,28.9400,29.1900,12.6304,14300
1998-03-13,29.2500,29.3100,28.3800,28.4400,12.3059,27300
1998-03-16,28.4400,28.6900,27.7500,28.2500,12.2237,27600
1998-03-17,28.2500,28.4400,27.0000,27.3100,11.8169,54500
1998-03-18,27.3100,27.6900,27.0600,27.5600,11.9251,56700
1998-03-19,27.4400,27.7500,27.1300,27.6300,11.9554,186000
1998-03-20,27.7500,27.7500,27.0600,27.0600,11.7087,34100
1998-03-23,27.1300,27.3100,25.7500,25.9400,11.2241,115500
1998-03-24,25.8800,26.8100,25.8100,26.3100,11.3842,108900
1998-03-25,26.0600,27.0000,26.0600,26.7500,11.5746,121700
1998-03-26,26.8800,28.0000,26.5600,27.8800,12.0636,173900
1998-03-27,29.0000,29.2500,28.5000,29.0600,12.5741,125500
1998-03-30,28.6300,28.9400,28.5000,28.6300,12.3881,20900
1998-03-31,28.8800,30.0000,28.6300,29.6900,12.8467,67700
1998-04-01,29.8100,29.8100,29.5000,29.6300,12.8208,29700
1998-04-02,29.5000,30.5000,29.3800,30.2500,13.0890,56800
1998-04-03,30.2500,30.4400,28.8800,29.0000,12.5482,101400
1998-04-06,29.0000,29.0000,28.8100,28.8800,12.4963,93800
1998-04-07,28.8800,28.8800,28.6900,28.6900,12.4400,100100
1998-04-08,28.4400,28.9400,28.4400,28.9400,12.5484,27400
1998-04-09,29.0000,29.5600,29.0000,29.5000,12.7912,56800
1998-04-13,29.7500,29.8800,29.1300,29.4400,12.7652,18900
1998-04-14,29.6900,31.7500,29.6900,31.1300,13.4980,67800
1998-04-15,31.0000,31.1900,30.5600,30.6300,13.2812,50000
1998-04-16,30.5600,30.8100,30.5600,30.7500,13.3332,15900
1998-04-17,30.7500,31.2500,30.5600,30.6300,13.2812,47100
1998-04-20,30.6900,30.6900,30.0600,30.1900,13.0904,57400
1998-04-21,30.4400,30.6900,29.9400,30.3800,13.1728,54200
1998-04-22,30.5000,30.6900,30.2500,30.6900,13.3072,35800
1998-04-23,30.6900,30.6900,29.9400,29.9400,12.9820,18600
1998-04-24,29.6900,30.0000,29.0600,29.1300,12.6308,34400
1998-04-27,28.3800,28.6900,27.7500,28.6900,12.4400,99200
1998-04-28,28.9400,30.2500,28.9400,29.6900,12.8736,56500
1998-04-29,29.6300,30.6300,29.6300,30.6300,13.2812,48100
1998-04-30,30.7500,31.0000,30.7500,31.0000,13.4416,97800
1998-05-01,31.0000,32.4400,31.0000,32.4400,14.0660,53400
1998-05-04,32.4400,32.6300,31.6300,31.6900,13.7408,18900
1998-05-05,31.6900,31.8100,31.0000,31.0000,13.4416,16700
1998-05-06,31.0000,31.1300,30.3800,31.0600,13.4676,33000
1998-05-07,31.0000,31.1300,30.7500,31.0600,13.4676,7000
1998-05-08,30.5600,31.8100,30.5600,31.8100,13.7928,25000
1998-05-11,32.0600,32.6300,31.8800,32.0000,13.8752,46700
1998-05-12,32.0000,32.0000,31.1900,31.5000,13.6584,13300
1998-05-13,31.5000,31.5000,30.5600,30.6300,13.2812,17300
1998-05-14,30.8800,31.1300,30.6900,30.7500,13.3332,40300
1998-05-15,30.6300,33.7500,30.6300,32.8800,14.2568,136500
1998-05-18,33.0000,33.7500,33.0000,33.0600,14.3348,201800
1998-05-19,33.5000,33.9400,33.2500,33.5000,14.5256,105100
1998-05-20,33.7500,33.8800,33.2500,33.5000,14.5256,65100
1998-05-21,33.5000,33.5000,33.0600,33.4400,14.4996,62200
1998-05-22,33.4400,33.7500,33.0600,33.7500,14.6340,41700
1998-05-26,33.7500,33.7500,33.0000,33.1300,14.3652,81600
1998-05-27,33.0000,33.5000,32.8100,33.2500,14.4172,196600
1998-05-28,33.2500,33.8100,32.8800,33.7500,14.6340,92100
1998-05-29,33.7500,33.7500,33.0000,33.1900,14.3912,48700
1998-06-01,33.1900,33.1900,32.7500,32.8100,14.2264,55500
1998-06-02,32.8100,33.4400,32.8100,33.0600,14.3348,16900
1998-06-03,33.1900,34.0600,33.1900,33.8800,14.6904,53300
1998-06-04,33.8100,33.8100,32.9400,33.3100,14.4432,40900
1998-06-05,33.5000,33.5000,32.7500,33.0000,14.3088,89700
1998-06-08,33.2500,33.5000,32.9400,33.0000,14.3088,69700
1998-06-09,33.0000,33.0000,31.8800,32.3100,14.0096,97100
1998-06-10,32.0600,32.4400,31.5600,31.7500,13.7668,29000
1998-06-11,31.7500,31.9400,31.5000,31.9400,13.8492,27900
1998-06-12,31.6900,31.6900,29.8800,30.0000,13.0080,91200
1998-06-15,30.1300,30.1300,29.3800,29.4400,12.7652,67400
1998-06-16,29.4400,29.5000,29.0600,29.2500,12.6828,89900
1998-06-17,29.3800,29.8100,29.2500,29.5000,12.7912,81600
1998-06-18,29.6300,29.6300,28.0000,28.1300,12.1972,57600
1998-06-19,28.1300,28.5000,27.5600,27.8100,12.0584,73500
1998-06-22,27.6900,27.6900,27.1900,27.5600,11.9500,54900
1998-06-23,27.5000,27.6300,25.6300,26.0000,11.2736,213400
1998-06-24,26.2500,26.3800,25.7500,26.0000,11.2736,150300
1998-06-25,26.2500,26.5000,25.7500,26.0600,11.2996,104900
1998-06-26,26.1300,26.7500,25.6900,26.0600,11.2996,52100
1998-06-29,26.1900,26.1900,25.1300,25.6300,11.1132,35500
1998-06-30,25.6900,26.8800,25.5000,26.1300,11.3300,60000
1998-07-01,26.6300,27.5000,26.6300,27.2500,11.8156,263800
