,open,high,low,close,adj_close,volume
1998-01-02,36.6300,36.8800,36.1300,36.1300,1.7921,80900
1998-01-05,36.1300,36.6300,35.5000,36.0600,1.7887,162400
1998-01-06,36.0000,36.0000,34.0000,35.6300,1.7673,598200
1998-01-07,35.5000,35.8800,35.1300,35.3800,1.7549,195400
1998-01-08,35.5000,36.3800,35.3800,36.0000,1.7857,368000
1998-01-09,36.0000,36.2500,35.6300,36.1300,1.7921,233400
1998-01-12,35.2500,36.0000,34.7500,36.0000,1.7857,458600
1998-01-13,36.0000,36.5000,35.6300,36.3800,1.8045,382100
1998-01-14,36.2500,36.9400,36.1300,36.9400,1.8323,198800
1998-01-15,36.7500,37.2500,36.5000,36.8800,1.8293,177100
1998-01-16,37.1300,37.2500,36.3800,36.7500,1.8229,452700
1998-01-20,37.0000,37.0000,35.5000,35.8800,1.7797,636200
1998-01-21,36.0000,36.2500,35.1300,35.3800,1.7549,685900
1998-01-22,35.1300,35.7500,34.2500,34.2500,1.6989,544300
1998-01-23,34.5000,34.5000,33.7500,34.1300,1.6929,526200
1998-01-26,34.0000,34.0000,33.3800,33.3800,1.6557,442100
1998-01-27,33.6300,33.7500,33.2500,33.5600,1.6646,624500
1998-01-28,33.6300,33.7500,32.5000,33.0000,1.6369,677100
1998-01-29,33.0000,33.6300,32.6300,32.7500,1.6245,687500
1998-01-30,32.6900,33.1300,32.1300,32.5000,1.6121,449300
1998-02-02,33.1300,33.8800,33.1300,33.5600,1.6646,696600
1998-02-03,33.6300,34.5000,33.3800,33.8800,1.6805,328600
1998-02-04,33.6300,34.2500,32.8800,34.1300,1.6929,234200
1998-02-05,34.3800,36.0000,34.2500,35.9400,1.7827,575000
1998-02-06,35.7500,36.3800,35.3100,35.3100,1.7515,682900
1998-02-09,35.3100,35.6900,34.6300,34.6900,1.7207,1473700
1998-02-10,35.0000,35.2500,34.6300,35.0000,1.7361,513100
1998-02-11,35.0000,36.1900,34.8800,36.0000,1.7857,375900
1998-02-12,36.1900,36.1900,35.2500,35.6300,1.7673,397600
