,open,high,low,close,adj_close,volume
1998-07-01,25.2500,25.6900,24.9400,25.5000,11.6085,13879067
1998-07-02,25.5600,25.7500,25.5000,25.6900,11.6950,2024800
1998-07-06,25.6900,26.0000,25.5000,25.8800,11.7815,1158467
1998-07-07,26.0000,26.0000,25.5000,25.5000,11.6085,718000
1998-07-08,25.6300,25.7500,25.5000,25.6900,11.6950,787000
1998-07-09,25.6300,25.9400,25.5000,25.8800,11.7815,962600
1998-07-10,26.0000,26.4400,25.8100,25.8100,11.7496,744867
1998-07-13,25.7500,25.8100,25.5000,25.7500,11.7223,527200
1998-07-14,25.7500,25.8800,25.5600,25.5600,11.6358,850867
1998-07-15,25.5000,26.0000,25.5000,26.0000,11.8361,575600
1998-07-16,25.7500,25.9400,25.5000,25.6900,11.6950,723000
1998-07-17,25.5000,26.1300,25.3800,26.0000,11.8361,801067
1998-07-20,26.0000,27.3800,26.0000,27.3800,12.4643,663667
1998-07-21,27.3800,27.4400,26.2500,26.5600,12.0910,523067
1998-07-22,26.2500,26.5000,25.4400,25.6300,11.6677,998600
1998-07-23,25.7500,25.8100,24.7500,25.5000,11.6085,832200
1998-07-24,25.7500,26.0600,25.6300,26.0000,11.8361,673200
1998-07-27,26.0000,26.3100,25.7500,25.8800,11.7815,562400
1998-07-28,25.9400,26.0600,25.0000,25.0000,11.3809,1387867
1998-07-29,25.0000,25.2500,24.5000,24.6300,11.2124,887600
1998-07-30,24.8100,25.0000,24.5000,25.0000,11.3809,1321600
1998-07-31,25.0000,25.6300,24.8800,25.0000,11.3809,729067
1998-08-03,25.0000,25.0000,24.3100,24.3800,11.0986,672667
1998-08-04,24.3100,24.3100,22.8800,23.0000,10.4704,830600
1998-08-05,22.7500,23.1300,21.9400,21.9400,9.9879,436067
1998-08-06,22.0600,22.1900,21.8800,21.8800,9.9605,392800
1998-08-07,22.0000,22.6300,21.8800,22.1300,10.0743,733467
1998-08-10,22.1300,23.9400,22.0000,23.1300,10.5296,214467
1998-08-11,22.7500,22.7500,22.0000,22.0000,10.0152,222667
1998-08-12,22.7500,22.7500,21.9400,21.9400,9.9879,342400
1998-08-13,22.0000,22.0600,21.7500,21.7500,9.9014,646000
1998-08-14,22.5000,22.5000,21.9400,22.0000,10.0152,152867
1998-08-17,22.2500,22.3800,22.0000,22.0000,10.0152,213267
1998-08-18,22.0000,22.0600,21.8800,22.0000,10.0152,141267
1998-08-19,22.1300,22.2500,21.9400,21.9400,9.9879,65200
1998-08-20,22.1900,22.3800,21.9400,22.0000,10.0152,252467
1998-08-21,21.8800,21.8800,20.1300,20.5000,9.3323,342667
1998-08-24,20.6300,21.0000,20.6300,20.6900,9.4188,182667
1998-08-25,20.9400,21.6900,20.7500,20.8100,9.4734,187267
1998-08-26,20.7500,21.0000,20.6300,20.9400,9.5326,42400
1998-08-27,20.7500,20.7500,18.8800,18.8800,8.5948,244800
1998-08-28,19.0000,19.7500,16.7500,16.8800,7.6844,447467
1998-08-31,17.2500,17.7500,15.7500,16.1300,7.3429,1456600
1998-09-01,16.1300,16.7500,15.8800,16.2500,7.3976,621000
1998-09-02,16.2500,16.3800,15.6300,15.8800,7.2291,159200
1998-09-03,15.8100,15.8800,13.5000,15.8800,7.2291,1886800
1998-09-04,15.8800,16.1900,15.2500,15.8800,7.2291,121800
1998-09-08,16.5000,17.0000,16.5000,16.7500,7.6252,411400
1998-09-09,16.7500,16.7500,16.1300,16.1300,7.3429,172200
1998-09-10,16.0000,16.0000,14.7500,14.8100,6.7420,89600
1998-09-11,14.8100,15.2500,14.7500,14.9400,6.8012,328067
1998-09-14,15.5000,15.5000,14.9400,14.9400,6.8012,343867
1998-09-15,14.9400,15.0000,13.7500,13.7500,6.2595,437267
1998-09-16,14.0000,14.7500,13.3800,14.5000,6.6009,1066800
1998-09-17,14.2500,15.5600,14.0000,15.1900,6.9150,173400
1998-09-18,15.1900,15.5600,14.8800,15.2500,6.9423,303000
1998-09-21,14.7500,15.3800,14.7500,15.3100,6.9696,598667
1998-09-22,15.5600,18.2500,15.5600,17.2500,7.8528,291200
1998-09-23,18.2500,21.3800,18.2500,19.9400,9.0774,552000
1998-09-24,20.0000,21.1300,19.5000,19.5000,8.8771,385400
1998-09-25,19.2500,20.3800,19.0000,19.6900,8.9636,360067
1998-09-28,21.3800,21.5000,19.8800,19.8800,9.0501,288000
1998-09-29,19.6300,19.7500,18.3800,19.2500,8.7633,527400
1998-09-30,19.5000,19.6900,19.3100,19.5000,8.8771,196067
1998-10-01,19.2500,19.9400,19.1300,19.8800,9.0501,90200
