,open,high,low,close,adj_close,volume
1998-01-02,38.3800,38.6300,37.3100,37.6300,2.0321,651100
1998-01-05,37.6300,37.7800,36.7500,37.1300,2.0051,700600
1998-01-06,37.1300,37.3800,35.5600,35.6900,1.9273,1230800
1998-01-07,35.5000,36.4400,34.2500,34.6900,1.8733,2164200
1998-01-08,34.5600,36.0000,34.0000,35.7500,1.9306,1692800
1998-01-09,35.7500,36.0000,34.3800,35.1300,1.8971,720600
1998-01-12,34.5000,35.3800,34.2500,35.1300,1.8971,1023900
1998-01-13,35.3800,35.6300,35.0000,35.5600,1.9203,477900
1998-01-14,35.6300,35.6300,35.0600,35.1900,1.9003,365400
1998-01-15,35.1300,35.2500,33.7500,34.0000,1.8361,797700
1998-01-16,34.3800,34.3800,33.7500,34.0300,1.8377,1094200
1998-01-20,34.2500,35.3800,34.1300,35.1300,1.8971,983300
1998-01-21,35.0000,35.2500,34.0600,34.1300,1.8431,594600
1998-01-22,34.2500,36.5000,33.6300,34.1300,1.8431,1951100
1998-01-23,34.3800,35.5000,34.1300,34.8800,1.8836,934500
1998-01-26,35.1300,35.2500,34.1300,34.2500,1.8496,806300
1998-01-27,34.2500,34.3800,33.1300,33.6300,1.8161,852700
1998-01-28,33.8800,35.1300,33.7500,34.8800,1.8836,1295700
1998-01-29,35.1900,37.1300,35.0000,36.5600,1.9743,2337800
1998-01-30,36.6900,36.8100,36.3800,36.5600,1.9743,632900
1998-02-02,37.0000,37.8800,36.6900,37.7500,2.0386,1357900
1998-02-03,37.8800,38.6300,37.2500,38.3800,2.0726,1030400
1998-02-04,37.7500,39.0000,37.6300,38.8400,2.0975,774300
1998-02-05,39.0000,39.0600,37.2500,37.7500,2.0386,730700
1998-02-06,37.8800,39.1300,37.8800,38.1300,2.0591,878400
1998-02-09,38.4400,38.5000,36.5000,36.6300,1.9781,1213100
1998-02-10,37.0000,37.2500,36.0000,36.8100,1.9878,943200
1998-02-11,37.0000,38.3800,36.6900,37.7500,2.0386,1255400
1998-02-12,37.8800,37.9400,37.5000,37.8100,2.0418,821700
1998-02-13,37.7500,38.2500,37.6300,37.8800,2.0456,438600
1998-02-17,38.0000,38.6900,37.8800,38.3800,2.0726,833300
1998-02-18,38.4400,38.8100,38.3100,38.6300,2.0861,391500
1998-02-19,38.6300,38.6300,37.0000,37.1900,2.0084,841100
1998-02-20,37.2500,37.7500,36.6300,37.5000,2.0251,925400
1998-02-23,37.5000,38.2500,37.5000,37.8100,2.0418,611700
1998-02-24,37.8800,38.2500,36.0000,36.6300,1.9781,1406500
1998-02-25,36.8800,38.1300,36.7500,37.7500,2.0386,1157100
1998-02-26,38.0000,40.1300,37.9400,39.8800,2.1536,2563100
1998-02-27,39.7500,39.9400,39.1300,39.5600,2.1363,1200300
1998-03-02,39.5600,41.0600,39.5000,40.6900,2.1974,1881200
1998-03-03,40.5600,41.2500,40.1300,40.3100,2.1768,1079000
1998-03-04,40.2500,40.4100,38.8800,39.5000,2.1331,963100
1998-03-05,38.2500,39.2500,38.1300,38.5600,2.0823,610500
1998-03-06,38.7500,39.8800,38.5000,39.1900,2.1164,857000
1998-03-09,38.8800,40.2500,38.7500,39.9400,2.1569,833600
1998-03-10,40.1900,40.5000,39.5000,40.3800,2.1806,565800
1998-03-11,41.5000,42.0000,41.1300,41.7500,2.2546,1202400
1998-03-12,41.8800,41.9400,40.5000,41.0000,2.2141,512400
1998-03-13,41.0000,41.1300,40.2500,40.5000,2.1871,386400
1998-03-16,40.5000,40.6300,40.1300,40.4400,2.1839,203500
1998-03-17,40.3100,41.4400,40.0000,41.0000,2.2141,540200
1998-03-18,41.1300,41.3800,40.8800,41.0000,2.2141,269800
1998-03-19,41.0000,41.1300,40.6300,40.8800,2.2076,420500
1998-03-20,41.0600,41.8800,40.7500,41.6300,2.2481,798800
1998-03-23,41.6900,41.6900,40.6900,40.8100,2.2038,215500
1998-03-24,40.9400,42.1300,40.5000,41.9400,2.2649,770000
1998-03-25,42.1300,43.1300,41.7500,42.5000,2.2951,1237300
1998-03-26,42.2500,43.1300,41.3800,43.0600,2.3253,1049400
1998-03-27,43.1900,43.1900,42.3800,42.7500,2.3086,583000
1998-03-30,43.5600,45.1900,43.5000,44.8800,2.4236,2081000
1998-03-31,44.8800,46.4400,44.6900,45.3100,2.4469,1502500
1998-04-01,45.3800,46.3800,44.7500,46.0600,2.4874,1848700
1998-04-02,45.8800,47.7500,45.8800,46.1900,2.4944,1804100
1998-04-03,46.0000,46.8100,45.2500,46.3800,2.5046,973600
1998-04-06,46.5000,47.2500,44.1900,44.4400,2.3999,1072200
1998-04-07,44.2500,44.5000,43.2500,43.6300,2.3561,853000
1998-04-08,43.8800,43.8800,43.1300,43.3100,2.3388,439900
1998-04-09,43.3800,43.5000,42.5000,43.1300,2.3291,579500
1998-04-13,43.2500,43.8800,43.1300,43.5000,2.3491,595100
1998-04-14,43.4400,44.7500,43.4400,44.5000,2.4031,737600
1998-04-15,44.6300,45.7500,44.5000,45.3800,2.4506,695100
1998-04-16,45.0000,45.3800,44.3800,45.1900,2.4404,292200
1998-04-17,44.8100,45.5600,44.7500,45.5600,2.4604,562800
1998-04-20,45.0600,46.0000,45.0600,45.5000,2.4571,331600
