,open,high,low,close,adj_close,volume
1998-01-02,40.1300,41.0000,39.8100,40.2500,7.0680,609267
1998-01-05,40.2500,41.4400,40.1300,40.4400,7.1014,850400
1998-01-06,39.5000,40.0000,39.3800,40.0000,7.0241,538867
1998-01-07,39.7500,39.8800,39.1300,39.5600,6.9469,451267
1998-01-08,39.1300,39.7500,38.6300,38.8800,6.8274,360400
1998-01-09,38.8800,38.8800,34.8800,36.0000,6.3217,924067
1998-01-12,35.0000,36.6900,34.5000,36.6900,6.4429,1052267
1998-01-13,36.9400,39.0000,36.9400,39.0000,6.8485,716600
1998-01-14,39.0000,39.1300,36.9400,38.1900,6.7063,690000
1998-01-15,37.7500,37.7500,36.0000,36.0000,6.3217,1013600
1998-01-16,36.0000,36.6300,35.5600,36.3800,6.3884,1639467
1998-01-20,36.6300,36.7500,35.6300,36.5000,6.4095,989600
1998-01-21,36.1300,36.3800,35.5000,36.0600,6.3322,733800
1998-01-22,35.5600,35.7500,34.7500,34.8800,6.1250,532867
1998-01-23,34.7500,35.0000,34.1300,34.5600,6.0688,390600
1998-01-26,34.8100,35.0600,34.4400,34.7500,6.1022,406000
1998-01-27,34.3800,35.2500,34.2500,34.8800,6.1250,829800
1998-01-28,35.0000,36.7500,34.8800,36.6300,6.4323,1084200
1998-01-29,36.7500,37.5600,36.6300,36.8800,6.4762,634267
1998-01-30,37.0600,37.6900,36.3100,36.5000,6.4095,387200
1998-02-02,36.8800,38.3800,36.8800,37.7500,6.6290,876667
1998-02-03,37.8100,37.8100,37.2500,37.5000,6.5851,482867
1998-02-04,37.5000,38.4400,37.1900,38.2500,6.7168,550600
1998-02-05,38.5000,38.7500,37.1900,37.1900,6.5307,408467
1998-02-06,37.1900,38.4400,37.1300,37.3800,6.5640,628000
1998-02-09,38.0600,38.0600,37.5600,37.6300,6.6079,360800
1998-02-10,37.5600,38.7500,37.5600,38.6300,6.7835,578400
1998-02-11,38.3100,38.7500,38.0600,38.6300,6.7906,489067
1998-02-12,38.7500,39.8800,38.3800,39.7500,6.9874,603667
1998-02-13,39.5600,39.6900,39.1300,39.3100,6.9101,504600
1998-02-17,39.4400,39.6900,38.4400,38.9400,6.8451,431267
1998-02-18,39.0000,39.4400,38.7500,39.3100,6.9101,271267
1998-02-19,39.0600,39.7500,38.5600,39.6300,6.9664,347067
1998-02-20,39.6900,39.6900,38.8800,39.1900,6.8890,453267
1998-02-23,39.4400,39.4400,38.6300,39.2500,6.8996,466000
1998-02-24,38.5000,38.9400,38.3800,38.6300,6.7906,450467
1998-02-25,38.5600,39.0600,38.2500,38.2500,6.7238,588467
1998-02-26,38.0000,38.5000,37.5600,37.9400,6.6693,592400
1998-02-27,37.4400,38.6300,37.4400,37.7500,6.6359,755267
1998-03-02,37.8100,38.4400,37.4400,37.8800,6.6587,1143067
1998-03-03,37.8800,38.3100,37.7500,38.0000,6.6798,696200
1998-03-04,37.8800,37.9400,37.2500,37.4400,6.5814,612467
1998-03-05,37.1900,37.4400,36.6300,36.8100,6.4706,575867
1998-03-06,36.8800,38.1300,36.8800,38.1300,6.7027,615400
1998-03-09,38.3800,38.6300,37.9400,37.9400,6.6693,355400
1998-03-10,38.1900,38.3800,37.6900,37.9400,6.6693,389600
1998-03-11,38.4400,39.5000,38.3800,39.1900,6.8890,459600
1998-03-12,39.8100,39.8100,39.0000,39.1900,6.8890,644267
1998-03-13,39.4400,39.9400,39.3100,39.3100,6.9101,501000
1998-03-16,39.3800,40.2500,39.3800,40.0000,7.0314,456200
1998-03-17,40.0000,40.6300,39.7500,40.4400,7.1087,586667
1998-03-18,40.5600,41.9400,40.3100,41.5600,7.3056,733667
1998-03-19,41.8100,41.8100,40.5600,41.1300,7.2300,405067
1998-03-20,41.3100,41.5600,40.9400,40.9400,7.1966,437267
1998-03-23,40.0000,41.0000,39.6300,39.9400,7.0208,942200
1998-03-24,40.0000,40.7500,40.0000,40.5600,7.1298,467400
1998-03-25,40.8800,41.1300,39.3800,39.6900,6.9769,564800
1998-03-26,39.4400,39.7500,38.3800,38.5600,6.7783,850600
1998-03-27,39.0600,39.3100,38.1300,38.1300,6.7027,565600
1998-03-30,37.8800,38.1300,37.0000,37.0600,6.5146,573600
1998-03-31,37.0600,38.1300,37.0600,38.0000,6.6798,1040267
1998-04-01,38.2500,38.3100,37.1300,37.5600,6.6025,645400
1998-04-02,37.4400,37.9400,37.1300,37.2500,6.5480,670467
1998-04-03,37.4400,37.8800,36.8100,37.0600,6.5146,1540800
1998-04-06,38.5000,40.3100,38.4400,39.6300,6.9664,2346067
1998-04-07,39.6300,39.6300,37.7500,38.3100,6.7343,1770867
1998-04-08,38.0600,38.8800,37.9400,38.8800,6.8345,929000
1998-04-09,39.2500,40.1900,39.1300,39.9400,7.0208,690200
1998-04-13,39.7500,40.2500,39.5000,40.0000,7.0314,623867
1998-04-14,40.0000,40.4400,39.7500,39.9400,7.0208,558467
1998-04-15,38.2500,39.0600,36.1900,36.5000,6.4161,2196600
1998-04-16,36.7500,36.9400,34.5600,35.4400,6.2298,1978800
1998-04-17,35.0000,35.6900,34.8100,35.0000,6.1525,1695867
1998-04-20,35.5000,35.7500,34.2500,34.4400,6.0540,1266600
1998-04-21,34.1300,34.3800,33.5000,33.7500,5.9327,1483867
1998-04-22,35.6300,36.1300,35.0600,35.8800,6.3072,1672467
1998-04-23,35.7500,36.3100,34.0600,34.8100,6.1191,1141600
1998-04-24,34.5000,35.0000,34.2500,34.4400,6.0540,802000
1998-04-27,34.0000,34.0600,32.7500,33.1300,5.8237,925600
1998-04-28,33.1300,34.0600,32.8800,33.0600,5.8114,991000
1998-04-29,33.5000,33.7500,33.1900,33.2500,5.8448,694600
1998-04-30,33.7500,35.8800,33.7500,35.0000,6.1525,1592067
1998-05-01,35.2500,35.7500,35.0600,35.5600,6.2509,596600
1998-05-04,35.4400,35.6300,35.0000,35.4400,6.2298,832067
1998-05-05,35.9400,36.0000,35.0600,35.3800,6.2193,781000
1998-05-06,35.1300,35.5000,33.5600,33.6900,5.9222,604400
1998-05-07,33.6900,34.0000,33.1300,33.5600,5.8993,896467
1998-05-08,33.8100,35.2500,33.8100,35.1300,6.1753,1148200
1998-05-11,34.7500,35.3100,34.3800,34.6900,6.1050,566200
1998-05-12,34.5600,34.8800,34.2500,34.8800,6.1384,638200
1998-05-13,34.8100,36.0000,34.8100,35.8800,6.3144,1266800
1998-05-14,35.9400,36.4400,35.3800,36.3100,6.3901,1072667
1998-05-15,36.4400,37.7500,36.3100,36.4400,6.4130,1125667
1998-05-18,36.2500,36.4400,35.7500,36.0600,6.3461,675400
1998-05-19,35.9400,36.2500,35.3100,35.4400,6.2370,723000
1998-05-20,35.1300,35.1300,35.1300,35.1300,6.1824,1544600
1998-05-21,35.2500,35.3100,34.7500,35.0000,6.1596,897200
1998-05-22,34.8100,34.9400,34.0000,34.4400,6.0610,430867
1998-05-26,34.6900,34.8100,33.6900,33.6900,5.9290,305400
1998-05-27,33.2500,33.3800,32.0000,32.6900,5.7530,883400
1998-05-28,32.8800,33.3800,32.7500,33.1900,5.8410,484400
1998-05-29,33.2500,33.9400,33.0000,33.1900,5.8410,709600
1998-06-01,33.0000,33.3100,32.3100,33.1900,5.8410,638800
1998-06-02,34.1900,34.1900,33.1300,33.3100,5.8621,781600
1998-06-03,33.5600,34.1300,33.0600,33.1300,5.8305,564800
1998-06-04,33.0600,34.1300,32.9400,33.9400,5.9730,590267
1998-06-05,34.1900,34.4400,33.7500,34.3800,6.0504,248000
1998-06-08,34.4400,35.6900,34.0000,35.4400,6.2370,890267
1998-06-09,35.3800,35.8800,35.0000,35.5600,6.2581,453867
1998-06-10,35.7500,36.0600,35.3700,35.5000,6.2476,380467
1998-06-11,35.4400,35.6900,34.3800,34.3800,6.0504,630667
1998-06-12,34.3100,34.3800,32.7500,33.0000,5.8076,1079467
1998-06-15,32.3800,32.8800,31.1300,31.3800,5.5225,1249600
1998-06-16,31.4400,32.0000,30.6900,31.1900,5.4890,1023667
1998-06-17,30.9400,32.3800,30.9400,31.9400,5.6210,930067
1998-06-18,31.7500,32.5000,31.4400,31.4400,5.5330,475000
1998-06-19,31.5600,32.0000,30.6300,30.6300,5.3905,650000
1998-06-22,30.6900,31.5000,30.6900,30.8800,5.4345,434200
1998-06-23,30.3800,30.8100,29.8100,30.0000,5.2796,1747000
1998-06-24,29.9400,30.1900,29.8100,29.8800,5.2585,1159600
1998-06-25,29.7500,29.9400,29.5600,29.6300,5.2145,1063667
1998-06-26,29.7500,30.6300,29.5000,30.1900,5.3131,776867
1998-06-29,30.7500,32.1900,30.7500,31.6900,5.5770,782467
1998-06-30,31.7500,32.9400,31.6900,32.6300,5.7425,1313867
1998-07-01,33.5000,35.1300,33.3800,34.7500,6.1156,1880867
1998-07-02,35.1300,35.3100,34.6900,35.1300,6.1824,838067
1998-07-06,35.9400,35.9400,34.8100,35.0600,6.1701,937000
1998-07-07,35.2500,35.7500,35.0600,35.6300,6.2704,719267
1998-07-08,35.4400,36.8800,35.4400,36.6300,6.4464,992800
1998-07-09,36.6900,36.8800,35.2500,35.5600,6.2581,746667
