,open,high,low,close,adj_close,volume
1998-01-02,28.5000,28.7500,27.8100,27.8800,19.2106,376400
1998-01-05,27.6900,27.7500,27.0000,27.6900,19.0797,450100
1998-01-06,27.6900,28.6900,27.3800,28.3100,19.5069,482700
1998-01-07,28.0600,28.1900,27.7500,28.0000,19.2933,414000
1998-01-08,27.8800,28.0000,26.8800,27.0000,18.6043,496500
1998-01-09,27.1300,27.1900,26.3800,26.5000,18.2597,299600
1998-01-12,26.0000,26.9400,25.7500,26.6900,18.3907,414000
1998-01-13,26.9400,27.2500,26.4400,26.7500,18.4320,531500
1998-01-14,27.0000,27.3800,26.8800,27.1300,18.6938,262400
1998-01-15,27.1300,27.3800,26.7500,27.1900,18.7352,460600
1998-01-16,27.5000,27.8100,27.2500,27.3100,18.8179,293600
1998-01-20,27.5000,27.5600,26.7500,27.1900,18.7352,776100
1998-01-21,27.2500,27.8800,26.5000,26.7500,18.4320,431300
1998-01-22,26.5000,26.7500,26.1300,26.7500,18.4320,439000
1998-01-23,26.3800,26.6300,26.0000,26.3100,18.1288,329800
1998-01-26,26.5000,26.9400,25.7500,26.9400,18.5629,465900
1998-01-27,27.2500,28.0000,27.1300,28.0000,19.2933,746100
1998-01-28,28.0000,28.7500,28.0000,28.6300,19.7274,660500
1998-01-29,28.5000,29.1300,28.1900,29.0000,19.9824,707300
1998-01-30,28.8800,28.8800,28.4400,28.6300,19.7274,444900
1998-02-02,29.0000,29.4400,28.5600,28.8800,19.8997,587600
1998-02-03,28.7500,29.3800,28.6900,29.3800,20.2442,283800
1998-02-04,29.0000,29.4400,28.6300,29.1300,20.0719,271600
1998-02-05,29.1300,29.3800,28.7500,28.8100,19.8514,387500
1998-02-06,28.9400,29.3800,28.8100,29.0600,20.0237,601100
1998-02-09,29.2500,29.4400,29.0000,29.4400,20.2855,325000
1998-02-10,29.4400,30.5000,29.3800,30.3100,20.8850,473900
1998-02-11,30.5000,30.5000,29.8800,30.1300,20.7610,753500
1998-02-12,30.0600,30.3800,29.6900,30.3800,20.9332,424100
1998-02-13,30.1900,30.5000,29.9400,30.2500,20.8437,830000
1998-02-17,30.6300,30.9400,30.6300,30.9400,21.3191,332300
1998-02-18,30.8800,31.5600,30.8100,31.5600,21.7463,407600
1998-02-19,31.8100,31.8100,31.0600,31.5600,21.7463,621800
