,open,high,low,close,adj_close,volume
1998-01-02,23.6200,24.1200,23.6200,24.1200,13.7933,12275
1998-01-05,24.1200,24.3800,23.7500,24.3800,13.9420,15661
1998-01-06,24.3800,24.5000,24.1200,24.1200,13.7933,5714
1998-01-07,24.1200,24.3800,23.8800,24.0000,13.7247,12910
1998-01-08,24.0000,24.2500,23.8800,24.0000,13.7247,8889
1998-01-09,24.0000,24.2500,24.0000,24.1200,13.7933,4021
1998-01-12,24.0000,24.0000,23.7500,23.8800,13.6561,14603
1998-01-13,23.8800,24.1200,23.8800,23.8800,13.6561,21587
1998-01-14,24.0000,24.0000,24.0000,24.0000,13.7247,0
1998-01-15,24.0000,24.5000,23.8800,24.3800,13.9420,34709
1998-01-16,24.3800,25.0000,24.3800,24.7500,14.1536,19259
1998-01-20,24.7500,25.1200,24.6200,25.0000,14.2966,13333
1998-01-21,25.0000,25.0000,24.3800,24.6200,14.0793,8677
1998-01-22,24.5000,24.5000,23.8800,24.1200,13.7933,23069
1998-01-23,24.1200,24.2500,24.0000,24.0000,13.7247,35344
1998-01-26,24.0000,24.2500,23.8800,24.0000,13.7247,23915
1998-01-27,24.0000,24.5000,23.8800,24.3800,13.9420,18624
1998-01-28,24.3800,25.0000,24.3800,24.8800,14.2280,8042
1998-01-29,25.0000,25.5000,25.0000,25.3800,14.5139,5926
1998-01-30,25.3800,25.6200,25.3800,25.6200,14.6511,24127
1998-02-02,25.6200,26.0000,25.6200,26.0000,14.8684,20952
1998-02-03,26.0000,26.2500,26.0000,26.2500,15.0114,8889
1998-02-04,26.2500,26.2500,26.0000,26.1200,14.9371,22222
1998-02-05,26.1200,26.1200,26.0000,26.0000,14.8684,24127
1998-02-06,26.0000,26.2500,26.0000,26.2500,15.0114,4868
1998-02-09,26.2500,26.2500,26.0000,26.1200,14.9371,13545
1998-02-10,26.1200,26.3800,26.1200,26.1200,14.9371,12910
1998-02-11,26.1200,26.3800,26.0000,26.1200,14.9371,9312
1998-02-12,26.1200,26.2500,25.7500,26.2500,15.0858,11217
1998-02-13,26.2500,26.2500,25.7500,26.1200,15.0110,12910
1998-02-17,26.1200,26.5000,26.1200,26.3800,15.1605,9524
1998-02-18,26.2500,26.2500,26.0000,26.1200,15.0110,3810
1998-02-19,26.2500,26.8800,26.2500,26.6200,15.2984,6561
1998-02-20,26.6200,28.0000,26.5000,28.0000,16.0915,42540
1998-02-23,28.0000,28.1200,27.0000,27.5000,15.8041,23069
1998-02-24,27.5000,27.6200,26.7500,26.8800,15.4478,22646
1998-02-25,26.8800,26.8800,26.7500,26.8800,15.4478,4233
1998-02-26,26.8800,27.1200,26.6200,27.0000,15.5168,8466
