,open,high,low,close,adj_close,volume
1998-01-02,80.7500,80.7500,79.7500,80.6900,28.4917,1313400
1998-01-05,80.6900,81.1300,77.1300,77.6300,27.4112,3354700
1998-01-06,76.3800,76.6300,73.2500,74.8100,26.4155,4058300
1998-01-07,75.0000,76.3800,73.1300,76.1900,26.9028,5040200
1998-01-08,75.0600,75.8800,73.1300,73.6300,25.9988,3706900
1998-01-09,73.0000,73.0000,69.6300,69.7500,24.6288,4522200
1998-01-12,68.1300,71.7500,68.0000,69.5600,24.5617,4460800
1998-01-13,71.5000,72.4400,70.8100,71.8800,25.3809,3165900
1998-01-14,73.7500,74.1900,72.2500,73.6300,25.9988,2678600
1998-01-15,76.0000,76.5600,73.2500,74.5600,26.3272,2793800
1998-01-16,74.9400,78.1900,74.9400,77.9400,27.5207,2850900
1998-01-20,79.3800,80.1300,78.5600,80.1300,28.2940,2332600
1998-01-21,79.6300,81.5000,78.1300,81.5000,28.7777,2814500
1998-01-22,77.2500,77.2500,71.0000,71.5600,25.2679,10562400
1998-01-23,72.5000,72.8800,69.3800,70.2500,24.8053,5981800
1998-01-26,72.0000,72.5000,69.3800,72.2500,25.5115,4349400
1998-01-27,72.3800,73.1300,71.1300,71.8800,25.3809,3162000
1998-01-28,72.9400,74.3800,72.0000,74.3800,26.2636,2783700
1998-01-29,75.2500,78.1900,74.8800,76.0600,26.8568,3611200
1998-01-30,76.1300,76.2500,73.1300,73.6900,26.0200,2285800
1998-02-02,75.1900,75.1900,72.5600,73.3100,25.8858,4653800
1998-02-03,73.3100,74.5600,72.5000,73.9400,26.1083,2728100
1998-02-04,73.9400,77.5000,73.8800,76.7500,27.1005,3622100
1998-02-05,77.1900,78.8800,76.8100,77.0000,27.1888,3974000
1998-02-06,76.9400,77.7500,76.3100,76.8800,27.1464,2011100
1998-02-09,77.1300,77.5000,74.8100,75.3800,26.6167,1928900
1998-02-10,76.2500,77.0600,75.4400,76.0600,26.8568,2413000
1998-02-11,76.0600,76.9400,75.5600,75.7500,26.7474,2306300
1998-02-12,75.0000,75.1900,73.5600,75.1900,26.5497,3730600
1998-02-13,75.0000,76.6300,75.0000,76.2500,26.9239,2675400
1998-02-17,76.6900,76.6900,73.1300,73.6900,26.0200,3200700
1998-02-18,74.0000,75.0000,73.3800,74.8800,26.4402,4640600
1998-02-19,74.8800,75.9400,74.1900,75.3800,26.6831,3470200
1998-02-20,75.2500,75.2500,74.2500,74.5000,26.3716,2614700
1998-02-23,74.3800,74.8100,71.5000,72.0600,25.5079,4626400
1998-02-24,72.2500,72.7500,70.3800,70.8100,25.0654,3991400
1998-02-25,71.8800,73.9400,71.1300,73.6300,26.0637,2669100
1998-02-26,75.3800,77.0000,74.7500,75.8800,26.8601,3638400
1998-02-27,75.6900,76.3100,75.0000,75.6300,26.7716,2240600
1998-03-02,74.5600,78.5000,74.5600,77.8100,27.5433,2582200
1998-03-03,77.0600,79.1300,76.0000,78.9400,27.9433,3774600
1998-03-04,79.0000,80.5000,76.7500,77.1300,27.3026,3137200
1998-03-05,75.6300,78.6300,75.6300,76.0000,26.9026,3240700
1998-03-06,76.5000,76.5600,72.4400,73.8800,26.1522,4329400
1998-03-09,73.7500,73.7500,70.9400,71.0600,25.1539,4200500
1998-03-10,71.0600,72.6900,70.2500,72.5000,25.6637,6580200
1998-03-11,72.9400,73.5000,70.5000,71.5000,25.3097,5461100
1998-03-12,71.4400,71.4400,69.6900,70.8800,25.0902,6535800
1998-03-13,70.9400,72.0000,70.0600,71.6300,25.3557,4334100
1998-03-16,71.3800,71.5000,69.6900,69.8100,24.7114,4223000
1998-03-17,70.0000,70.0600,65.8800,67.1300,23.7628,10104300
1998-03-18,67.5000,70.5000,67.4400,70.4400,24.9345,7646100
