,open,high,low,close,adj_close,volume
1998-01-02,26.1900,26.1900,25.7500,25.9400,12.3096,16900
1998-01-05,25.8800,26.0000,25.8800,25.8800,12.2811,71800
1998-01-06,25.8800,25.9400,25.5000,25.7500,12.2194,56600
1998-01-07,25.7500,25.7500,25.6200,25.6200,12.1577,30700
1998-01-08,25.6900,25.7500,25.4400,25.5000,12.1008,69100
1998-01-09,25.6200,25.6200,25.3800,25.5000,12.1008,20100
1998-01-12,25.2500,25.2500,25.0000,25.0000,11.8635,215100
1998-01-13,25.1200,25.1200,24.8800,25.1200,11.9204,9700
1998-01-14,25.1200,25.6200,25.1200,25.5600,12.1292,293600
1998-01-15,25.3100,25.3100,25.1200,25.2500,11.9821,45600
1998-01-16,25.5000,25.5000,25.5000,25.5000,12.1008,82300
1998-01-20,25.6200,26.1200,25.5600,26.0000,12.3380,104300
1998-01-21,26.1200,26.7500,25.8800,26.1200,12.3950,65000
1998-01-22,26.1900,26.6200,26.1900,26.5000,12.5753,122800
1998-01-23,26.5000,26.8800,26.3800,26.5000,12.5753,48700
1998-01-26,26.6200,26.9400,26.5000,26.6200,12.6322,41400
1998-01-27,26.6900,27.0000,26.6900,26.7500,12.6939,19500
1998-01-28,27.0000,27.0000,26.7500,26.7500,12.6939,19500
1998-01-29,26.8100,27.0000,26.7500,26.7500,12.6939,21700
1998-01-30,26.8100,27.8800,26.7500,27.8800,13.2302,60600
1998-02-02,27.8800,27.8800,27.1200,27.4400,13.0214,26400
1998-02-03,27.4400,28.0000,26.8800,26.8800,12.7556,130300
1998-02-04,27.0000,27.0000,26.5600,26.5600,12.6038,25300
1998-02-05,26.6900,26.6900,26.3100,26.4400,12.5468,11000
1998-02-06,26.2500,26.5000,26.2500,26.3100,12.4851,53400
1998-02-09,26.3100,26.3800,26.0000,26.1900,12.4282,37900
1998-02-10,26.1900,26.1900,25.8800,26.0000,12.3380,30400
1998-02-11,26.1900,26.6200,26.0600,26.5000,12.5753,37500
1998-02-12,26.3800,26.3800,26.1200,26.1200,12.3950,8100
1998-02-13,26.1200,26.5000,26.0000,26.5000,12.5753,27100
1998-02-17,26.4400,26.6200,26.3800,26.5600,12.6038,8600
1998-02-18,26.5600,26.5600,25.9400,26.1200,12.3950,26400
1998-02-19,26.1200,26.5000,26.1200,26.2500,12.4567,42500
1998-02-20,26.2500,26.6200,26.2500,26.5000,12.5753,25900
1998-02-23,26.6200,27.1900,26.6200,27.1200,12.8695,62000
1998-02-24,27.1200,27.1200,27.0000,27.0000,12.8126,11200
1998-02-25,27.0000,27.0600,26.8800,26.8800,12.7556,4000
1998-02-26,26.6900,26.6900,26.5000,26.5000,12.5753,29000
1998-02-27,26.6200,26.6200,26.5600,26.5600,12.6038,4700
1998-03-02,26.6200,26.6200,26.1200,26.1200,12.3950,23500
1998-03-03,25.9400,25.9400,25.7500,25.7500,12.2194,5700
1998-03-04,25.8800,25.8800,25.7500,25.8800,12.2811,15700
1998-03-05,25.8100,25.8800,25.0000,25.0000,11.8635,31300
1998-03-06,25.2500,25.4400,25.2500,25.2500,11.9821,29500
1998-03-09,25.2500,25.6200,25.2500,25.6200,12.1577,10300
1998-03-10,25.6200,25.6200,25.2500,25.6200,12.1577,17900
1998-03-11,25.6200,25.6200,25.0000,25.0000,11.8635,19000
1998-03-12,25.1200,25.1900,25.1200,25.1900,11.9537,3700
1998-03-13,24.9400,24.9400,24.1200,24.2500,11.5076,101900
1998-03-16,24.2500,24.2500,24.0000,24.1200,11.4459,103600
1998-03-17,24.3100,24.4400,24.1200,24.3800,11.5693,29800
1998-03-18,24.4400,24.4400,23.9400,24.0000,11.3890,57400
1998-03-19,24.0000,24.1900,24.0000,24.1900,11.4791,2100
1998-03-20,24.3800,25.0000,24.3800,24.8800,11.8065,15300
1998-03-23,25.1200,25.3100,25.0000,25.1900,11.9537,14800
1998-03-24,25.1200,25.4400,25.1200,25.3800,12.0438,10500
1998-03-25,25.3800,25.8800,25.0600,25.0600,11.8920,63700
1998-03-26,25.0000,25.2500,24.8100,25.0000,11.8635,26700
1998-03-27,24.5000,25.5600,24.4400,25.5600,12.2953,68900
1998-03-30,25.5600,25.5600,25.3800,25.3800,12.2087,6400
1998-03-31,25.3800,25.6200,25.1900,25.5600,12.2953,15400
1998-04-01,25.5000,25.6900,25.5000,25.6900,12.3579,2700
1998-04-02,25.5600,26.5000,25.5600,26.2500,12.6272,17800
1998-04-03,26.1200,26.5600,26.1200,26.4400,12.7186,5800
1998-04-06,26.3800,26.7500,26.3800,26.5000,12.7475,16500
1998-04-07,26.7500,26.7500,26.3800,26.5000,12.7475,37600
1998-04-08,26.3800,26.3800,25.8100,26.3800,12.6898,19700
1998-04-09,26.2500,26.3800,26.2500,26.3800,12.6898,54700
1998-04-13,26.2500,26.5600,26.0000,26.0000,12.5070,7600
1998-04-14,25.8800,26.3100,25.7500,25.7500,12.3867,176800
1998-04-15,25.8100,25.8100,25.5000,25.6200,12.3242,16700
1998-04-16,25.6900,25.6900,25.5000,25.5000,12.2665,2900
1998-04-17,25.5000,25.5000,24.8800,25.0000,12.0259,138900
1998-04-20,24.8800,24.9400,24.6200,24.6200,11.8431,44000
1998-04-21,24.3800,24.3800,23.7500,23.7500,11.4246,166500
1998-04-22,23.8100,23.8800,23.5600,23.8800,11.4872,33900
1998-04-23,23.9400,24.0000,23.7500,23.8800,11.4872,7600
1998-04-24,23.9400,23.9400,23.4400,23.5600,11.3332,14400
1998-04-27,23.6900,23.6900,23.3800,23.3800,11.2467,30000
1998-04-28,23.5600,23.7500,23.3800,23.5000,11.3044,19100
1998-04-29,23.6200,23.8800,23.6200,23.8100,11.4535,10000
1998-04-30,23.8100,24.0000,23.8100,24.0000,11.5449,17200
1998-05-01,24.0000,24.0600,23.9400,24.0600,11.5738,1000
