,open,high,low,close,adj_close,volume
1998-01-02,43.6300,43.6300,42.2500,42.3800,24.7547,129800
1998-01-05,42.3800,42.6900,42.0000,42.1900,24.6437,171600
1998-01-06,42.1900,42.1900,41.6300,42.1300,24.6086,118700
1998-01-07,42.1300,42.2500,41.7500,42.2500,24.6787,132600
1998-01-08,42.3800,42.3800,41.3100,41.5600,24.2757,73800
1998-01-09,41.4400,41.5000,40.6300,40.6300,23.7325,194100
1998-01-12,40.3100,40.8100,40.0600,40.4400,23.6215,145600
1998-01-13,40.6900,40.8100,39.5000,39.6300,23.1484,398900
1998-01-14,40.1300,40.3100,39.9400,40.0000,23.3645,261400
1998-01-15,40.1300,40.5000,39.7500,40.0600,23.3995,638000
1998-01-16,40.2500,40.7500,40.2500,40.5600,23.6916,238400
1998-01-20,40.7500,41.0000,40.5000,40.9400,23.9135,127500
1998-01-21,40.8100,41.1900,40.0600,40.2500,23.5105,174400
1998-01-22,40.1300,40.3800,39.6900,39.9700,23.3469,322700
1998-01-23,39.8100,40.0600,39.5600,39.7200,23.2009,184300
1998-01-26,40.0600,40.1900,39.6300,39.6300,23.1484,139100
1998-01-27,39.5600,40.5000,39.5600,40.3800,23.5864,186100
1998-01-28,39.9400,40.1300,39.8800,39.8800,23.2944,224400
1998-01-29,40.0000,41.2500,39.8800,40.6300,23.7325,261500
1998-01-30,37.2500,39.4400,37.1900,39.1900,22.8913,1214400
1998-02-02,39.4400,39.9400,39.4400,39.5600,23.1075,632600
1998-02-03,39.5600,39.7500,39.4400,39.7500,23.2184,291900
1998-02-04,39.6300,39.7500,39.4400,39.6300,23.1484,609300
1998-02-05,40.0600,40.8800,40.0600,40.1300,23.4404,414900
1998-02-06,40.1900,40.2500,40.0600,40.1300,23.4404,202900
1998-02-09,40.0600,40.1900,39.8100,40.0000,23.3645,356800
1998-02-10,40.1300,40.3800,39.9400,40.0000,23.3645,604900
1998-02-11,40.0000,40.1300,39.8800,40.0000,23.3645,506000
1998-02-12,39.7500,40.2500,39.6300,40.0000,23.4871,259100
1998-02-13,39.7500,39.8100,39.5000,39.6900,23.3051,256700
1998-02-17,39.7500,40.3800,39.6300,40.3100,23.6692,219600
1998-02-18,40.2500,40.9400,40.2500,40.9400,24.0391,170300
1998-02-19,40.9400,41.0600,40.5000,41.0600,24.1095,159700
1998-02-20,41.2500,41.4400,41.0000,41.1300,24.1506,176100
1998-02-23,41.0600,41.5600,41.0600,41.3100,24.2563,178600
1998-02-24,41.4400,41.7500,41.3100,41.3800,24.2974,149400
1998-02-25,41.4400,42.1300,41.3100,42.0600,24.6967,164300
1998-02-26,42.0600,43.0600,41.9400,43.0600,25.2839,254300
1998-02-27,43.0600,43.0600,42.3800,42.5000,24.9551,190300
1998-03-02,42.3100,42.6300,42.0000,42.2500,24.8083,229600
1998-03-03,42.1300,43.3100,42.1300,43.1900,25.3602,208600
1998-03-04,43.2500,43.2500,42.8100,42.9400,25.2134,104200
1998-03-05,42.6900,43.0000,42.5000,42.6900,25.0666,154900
1998-03-06,42.6900,43.3100,42.3800,42.3800,24.8846,206500
1998-03-09,42.2500,42.8800,42.1900,42.5600,24.9903,110600
1998-03-10,42.6300,43.1900,42.5600,42.8800,25.1782,164400
1998-03-11,42.8800,42.8800,42.6900,42.8100,25.1371,100900
1998-03-12,42.6900,43.3100,42.6900,43.2500,25.3955,141900
1998-03-13,43.5000,43.8100,43.5000,43.6300,25.6186,162100
1998-03-16,43.6300,43.6900,43.4400,43.5600,25.5775,66600
1998-03-17,43.5000,43.5600,43.0000,43.0600,25.2839,220500
1998-03-18,43.1300,43.1300,42.6900,42.9400,25.2134,133600
1998-03-19,42.9400,44.0600,42.8100,44.0600,25.8711,186800
1998-03-20,44.1300,44.1900,43.8800,44.1300,25.9122,181600
1998-03-23,44.0000,44.5000,43.8800,44.3800,26.0590,160800
1998-03-24,44.5000,45.5000,44.5000,45.1900,26.5346,175600
1998-03-25,45.3800,45.7500,45.1300,45.1900,26.5346,159100
1998-03-26,45.0600,45.0600,44.5600,44.8800,26.3526,311100
1998-03-27,44.8800,45.2500,44.8100,45.0600,26.4583,157800
1998-03-30,45.0600,45.1300,44.6900,44.7500,26.2762,163800
1998-03-31,44.7500,45.8100,44.7500,45.6200,26.7871,117700
1998-04-01,45.6300,46.2200,45.3100,46.1300,27.0865,100500
1998-04-02,46.1300,46.1900,45.6900,45.6900,26.8282,90800
1998-04-03,46.0000,46.0000,45.6300,45.7500,26.8634,100200
1998-04-06,45.7500,45.9400,45.6900,45.7500,26.8634,81600
1998-04-07,45.8100,45.8100,45.3800,45.6900,26.8282,102800
1998-04-08,45.6900,45.6900,45.2500,45.3100,26.6051,139100
1998-04-09,45.3100,45.9400,45.2500,45.5000,26.7166,57800
1998-04-13,45.5000,45.5000,45.0600,45.2500,26.5698,102400
1998-04-14,45.1900,46.4400,45.1300,46.2500,27.1570,172400
1998-04-15,46.1900,46.1900,45.6300,45.7500,26.8634,78100
1998-04-16,45.5000,45.6300,45.0600,45.3800,26.6462,110200
1998-04-17,45.3800,46.0600,45.3800,46.0000,27.0102,99100
1998-04-20,46.0600,46.0600,45.5000,46.0000,27.0102,107100
1998-04-21,45.9400,46.1900,45.5600,45.8100,26.8986,139300
1998-04-22,45.6300,45.8800,45.3100,45.4400,26.6814,203700
1998-04-23,45.2500,45.2500,44.5000,44.8800,26.3526,121000
1998-04-24,44.7500,44.7500,43.2500,43.6900,25.6538,152800
1998-04-27,42.5000,43.0600,42.3800,42.6900,25.0666,211800
1998-04-28,42.6900,42.7500,42.1300,42.1900,24.7731,253000
1998-04-29,42.2500,42.5600,42.2500,42.3800,24.8846,272600
1998-04-30,43.1300,43.3800,42.3100,42.3100,24.8435,209600
1998-05-01,42.5600,43.3800,42.5600,43.0000,25.2487,97200
