,open,high,low,close,adj_close,volume
1998-01-02,26.0000,26.0000,25.3100,25.9400,3.8419,1937400
1998-01-05,25.9400,26.0000,25.1900,25.5600,3.7856,3298400
1998-01-06,25.3800,25.4400,24.9400,25.1300,3.7220,2035300
1998-01-07,25.0000,25.1900,24.8800,25.1900,3.7308,3671700
1998-01-08,25.1900,25.6900,25.0000,25.3800,3.7590,2063800
1998-01-09,25.5000,25.5600,25.1900,25.3800,3.7590,2633100
1998-01-12,25.1300,25.3800,25.0000,25.2500,3.7397,1858700
1998-01-13,25.3800,25.5000,25.1900,25.5000,3.7768,1640600
1998-01-14,25.5000,25.5600,25.2500,25.5000,3.7768,2586500
1998-01-15,25.5000,25.5000,25.1300,25.1900,3.7308,1423900
1998-01-16,25.3800,25.3800,25.0600,25.1900,3.7308,1499900
1998-01-20,25.0600,25.2500,24.1300,25.1300,3.7220,1520200
1998-01-21,25.0000,25.2500,24.6900,24.9400,3.6938,1317400
1998-01-22,24.7500,25.1300,24.6300,25.0600,3.7116,1885000
1998-01-23,25.0600,25.0600,24.5000,24.6300,3.6479,3614300
1998-01-26,24.6900,25.0600,24.6300,25.0000,3.7027,2491700
1998-01-27,25.0000,25.3800,24.9400,25.2500,3.7397,1460700
1998-01-28,25.0000,25.3800,24.8100,25.2500,3.7397,5238800
1998-01-29,24.9400,25.1300,24.6300,24.6300,3.6975,1401000
1998-01-30,24.6300,24.6300,24.1300,24.3100,3.6495,1915600
1998-02-02,24.3800,24.5000,24.2500,24.3800,3.6600,1559600
1998-02-03,24.2500,24.2500,24.0000,24.1300,3.6225,1211600
1998-02-04,24.0600,24.1300,23.9400,24.0600,3.6119,1884900
1998-02-05,24.1900,24.2500,24.0000,24.2500,3.6405,1328600
1998-02-06,24.5000,24.9400,24.3800,24.8100,3.7245,1413400
1998-02-09,24.7500,24.8800,24.5000,24.6300,3.6975,1120800
1998-02-10,25.0000,25.1300,24.8100,24.9400,3.7441,1777800
1998-02-11,25.0000,25.0000,24.5600,24.8800,3.7350,2096900
1998-02-12,25.0000,25.0600,24.6300,25.0000,3.7531,1160700
1998-02-13,24.9400,25.0600,24.7500,24.8800,3.7350,1087000
1998-02-17,24.8800,25.0600,24.7500,25.0000,3.7531,2201900
1998-02-18,25.0600,26.0000,24.9400,25.0000,3.7531,1324400
1998-02-19,25.0600,25.0600,24.6300,24.8800,3.7350,2553600
1998-02-20,24.8800,24.8800,24.6900,24.8800,3.7350,1563700
1998-02-23,24.9400,24.9400,24.6900,24.7500,3.7155,1623000
1998-02-24,24.7500,24.8100,24.5000,24.6900,3.7065,1475200
1998-02-25,24.8100,24.8100,24.6300,24.7500,3.7155,3001800
1998-02-26,24.6300,24.7500,24.5000,24.6300,3.6975,822300
1998-02-27,24.6900,24.8000,24.5000,24.6900,3.7065,1632500
1998-03-02,24.6300,24.8100,24.6300,24.6900,3.7065,789400
