,open,high,low,close,adj_close,volume
1998-01-02,32.6300,32.8100,32.3800,32.6300,11.2626,103352
1998-01-05,33.0000,33.6300,33.0000,33.0600,11.4111,193517
1998-01-06,33.2500,33.5000,32.6300,32.9400,11.3696,287491
1998-01-07,33.0000,33.0000,32.6300,32.7500,11.3041,224288
1998-01-08,32.9400,33.0000,32.6300,32.6900,11.2834,185702
1998-01-09,32.8800,32.9400,32.0000,32.1300,11.0901,190098
1998-01-12,32.1300,32.3800,31.5000,31.9400,11.0245,176910
1998-01-13,31.9400,32.0600,31.6300,31.7500,10.9589,472510
1998-01-14,31.9400,32.5000,31.8800,32.3800,11.1764,241872
1998-01-15,32.5600,33.3100,32.5600,32.9400,11.3696,283682
1998-01-16,33.0000,33.2500,32.3100,32.3100,11.1522,214715
1998-01-20,32.5000,32.7500,32.3800,32.5600,11.2385,167630
1998-01-21,32.8100,32.9400,32.6900,32.6900,11.2834,169193
1998-01-22,32.6900,32.9400,32.6900,32.8800,11.3489,203090
1998-01-23,33.0000,33.1300,32.8800,32.9400,11.3696,164211
1998-01-26,33.1900,33.1900,32.8800,32.8800,11.3489,172124
1998-01-27,33.0000,33.0600,32.6300,32.6300,11.2626,255352
1998-01-28,32.8100,33.0000,32.7500,32.8800,11.3489,89285
1998-01-29,33.0000,33.1300,32.8800,32.9400,11.3696,209635
1998-01-30,32.9400,33.2500,32.9400,33.1900,11.4559,135687
1998-02-02,33.2500,33.4400,33.1900,33.2500,11.4766,196252
1998-02-03,33.4400,33.5000,33.1300,33.3800,11.5215,188144
1998-02-04,33.0000,33.0000,32.6300,33.0000,11.5647,75902
1998-02-05,32.8800,33.1900,32.8100,32.9400,11.5436,259651
1998-02-06,33.0000,33.0000,32.8800,33.0000,11.5647,96514
1998-02-09,33.0000,33.1300,32.8800,32.9400,11.5436,109507
1998-02-10,33.1300,33.2500,32.9400,33.1300,11.6102,553003
1998-02-11,33.2500,33.4400,33.1900,33.1900,11.6312,165774
1998-02-12,33.3800,33.3800,33.0000,33.3100,11.6733,147702
1998-02-13,33.2500,33.5000,33.1900,33.2500,11.6523,98175
1998-02-17,33.4400,33.5000,33.0000,33.0000,11.5647,120154
1998-02-18,33.1300,33.6300,32.8800,33.6300,11.7854,149363
1998-02-19,33.0000,33.0600,32.3800,32.5000,11.3894,176226
1998-02-20,32.6300,32.7500,32.2500,32.2500,11.3018,329301
1998-02-23,32.3800,32.3800,31.6300,31.6900,11.1056,399245
1998-02-24,31.8800,31.8800,31.2500,31.3800,10.9969,451019
1998-02-25,31.2500,31.5000,31.2500,31.3800,10.9969,266586
1998-02-26,31.3100,31.5000,31.1900,31.1900,10.9304,361245
1998-02-27,31.3800,31.3800,30.7500,30.8800,10.8217,126699
1998-03-02,31.3100,31.3100,31.0000,31.0600,10.8848,149851
1998-03-03,31.0600,31.1300,30.8800,30.9400,10.8427,115075
1998-03-04,31.0000,31.1300,30.8100,30.8800,10.8217,138031
1998-03-05,30.6900,30.8800,30.3800,30.5000,10.6886,217939
1998-03-06,30.7500,31.0000,30.6300,30.7500,10.7762,410283
1998-03-09,30.8100,31.1300,30.5000,30.8800,10.8217,296185
1998-03-10,30.8800,31.1900,30.8800,31.0000,10.8638,215496
1998-03-11,30.7500,31.3800,30.7500,30.9400,10.8427,638967
1998-03-12,31.0000,32.2500,31.0000,31.7500,11.1266,784911
1998-03-13,32.0000,32.3100,31.7500,32.2500,11.3018,320705
1998-03-16,32.2500,32.7500,31.6300,31.7500,11.1266,872145
1998-03-17,31.9400,32.2500,31.8100,32.0000,11.2142,265121
1998-03-18,32.0000,32.3100,32.0000,32.0000,11.2142,181502
1998-03-19,32.0000,32.3800,31.9400,32.0000,11.2142,211101
1998-03-20,33.1300,33.4400,32.6300,32.8800,11.5226,345810
1998-03-23,32.9400,32.9400,32.5000,32.6900,11.4560,114977
1998-03-24,32.7500,32.8800,32.5000,32.6900,11.4560,175445
1998-03-25,32.8800,33.7500,32.7500,33.6300,11.7854,473486
1998-03-26,33.8100,34.5000,33.7500,34.0600,11.9361,630469
1998-03-27,34.0600,34.1300,33.6300,33.6300,11.7854,378828
1998-03-30,33.6300,34.0000,33.3800,33.8800,11.8731,172417
1998-03-31,34.3800,34.4400,33.8800,34.2500,12.0027,434607
1998-04-01,34.2500,34.2500,33.7500,34.0600,11.9361,243825
1998-04-02,34.1300,34.4400,34.1300,34.4400,12.0693,129923
1998-04-03,34.7500,34.8800,34.3800,34.3800,12.0483,129923
1998-04-06,34.3800,34.6900,34.0000,34.1900,11.9817,172807
1998-04-07,34.1900,34.5600,34.1300,34.4400,12.0693,159327
