,open,high,low,close,adj_close,volume
1998-01-02,71.2500,71.7500,70.6300,71.0000,43.1745,167900
1998-01-05,70.7500,72.6900,70.7500,71.6900,43.5941,233100
1998-01-06,71.1900,71.3800,70.0000,70.7500,43.0225,243500
1998-01-07,70.7500,70.7500,68.0600,69.2500,42.1104,254600
1998-01-08,69.1900,69.7500,67.8800,68.0600,41.3867,396600
1998-01-09,69.0000,69.0000,65.3100,66.0000,40.1341,293000
1998-01-12,65.2500,67.4400,65.2500,67.3800,40.9732,385700
1998-01-13,67.4400,68.2500,67.0000,68.1900,41.4658,129900
1998-01-14,69.0000,69.5600,68.3800,69.4400,42.2259,173200
1998-01-15,69.2500,69.2500,68.2500,68.4400,41.6178,152600
1998-01-16,69.0000,69.9400,68.8100,69.5000,42.2624,273800
1998-01-20,69.7500,70.0000,69.3800,69.9400,42.5300,153200
1998-01-21,69.7500,69.8800,68.1900,68.5600,41.6908,304500
1998-01-22,68.5000,68.6900,67.6900,67.7500,41.1982,172000
1998-01-23,67.7500,68.2500,66.7500,67.5000,41.0462,300200
1998-01-26,67.7500,69.0000,67.7500,68.7500,41.8063,360900
1998-01-27,68.2500,69.9400,68.2500,69.8100,42.4509,243200
1998-01-28,69.7500,71.5000,69.6900,70.6300,42.9495,248400
1998-01-29,69.7500,72.2500,69.6900,70.5600,42.9070,580400
1998-01-30,70.3100,70.3800,69.1900,69.2500,42.1104,226300
1998-02-02,69.5000,71.4400,69.5000,71.1300,43.2536,208800
1998-02-03,70.6300,72.3100,70.3800,71.9400,43.7461,177400
1998-02-04,70.9400,72.1300,70.8100,72.0000,43.7826,228700
1998-02-05,71.7500,72.2500,71.0000,71.5600,43.5151,144000
1998-02-06,71.6900,73.0000,71.6900,72.6900,44.2022,202300
1998-02-09,72.7500,72.7500,71.3800,72.2500,43.9346,155400
1998-02-10,72.3800,73.6300,72.3800,72.5600,44.1232,238700
1998-02-11,72.5600,73.2500,72.2500,73.0000,44.3907,100500
1998-02-12,72.7500,72.7500,71.5000,72.1300,43.8617,284500
1998-02-13,72.0000,72.0000,71.2500,71.5600,43.5151,125300
1998-02-17,71.8100,72.5600,71.5000,72.1300,43.8617,171000
1998-02-18,72.2500,73.1300,72.0600,72.8100,44.2752,174100
1998-02-19,72.5600,72.8800,72.1900,72.8800,44.3177,173100
1998-02-20,73.1900,73.1900,71.3800,72.5000,44.0867,187000
1998-02-23,72.3800,72.8100,71.8800,72.6300,44.1657,162200
1998-02-24,72.3800,72.8100,72.1900,72.5600,44.1232,267500
1998-02-25,72.8800,74.1300,72.6900,73.5600,44.7312,344400
1998-02-26,73.5600,73.5600,73.0000,73.3800,44.7738,141700
1998-02-27,73.0000,74.1300,72.8100,73.7500,44.9996,159400
1998-03-02,73.6300,74.1300,73.1300,74.0600,45.1887,182100
1998-03-03,73.9400,74.1900,73.5000,74.1300,45.2314,101600
1998-03-04,74.1300,74.1300,73.2500,73.6900,44.9630,106100
1998-03-05,73.1900,73.3800,72.0600,72.5600,44.2735,200500
1998-03-06,72.5000,74.4400,72.5000,74.0600,45.1887,192700
1998-03-09,73.8100,74.0000,73.1900,73.8100,45.0362,126100
1998-03-10,73.8100,74.5600,73.7500,74.0600,45.1887,190400
1998-03-11,73.8100,74.8800,73.6900,74.7500,45.6097,198700
1998-03-12,74.2500,74.8800,73.9400,74.5000,45.4572,164000
1998-03-13,74.5000,74.8100,74.2500,74.3100,45.3413,209700
1998-03-16,74.5600,76.3800,74.5600,76.3800,46.6043,264300
1998-03-17,76.2500,76.5000,75.5600,76.0000,46.3724,174700
1998-03-18,76.0000,76.3800,75.7500,76.0600,46.4091,117800
1998-03-19,76.3100,76.4400,76.1300,76.4400,46.6409,211800
1998-03-20,77.4400,77.4400,76.3100,76.5000,46.6775,467600
1998-03-23,76.3100,76.4400,75.1300,75.3100,45.9514,168800
1998-03-24,75.5600,76.6300,75.5600,76.2500,46.5250,130000
1998-03-25,76.5000,77.0000,74.5600,75.3100,45.9514,419000
1998-03-26,75.0600,76.1900,74.5600,75.8100,46.2565,219200
1998-03-27,76.2500,76.4400,74.7500,75.5000,46.0674,158600
1998-03-30,75.3800,75.5600,73.3100,73.8100,45.0362,179100
1998-03-31,74.5000,76.4400,74.5000,75.3800,45.9941,290800
1998-04-01,75.5600,75.5600,73.3800,74.6300,45.5365,343300
1998-04-02,74.8800,75.8800,74.7500,75.5000,46.0674,244800
1998-04-03,75.5000,76.6300,75.1300,75.6900,46.1833,309700
1998-04-06,76.0000,77.2500,75.8100,76.2500,46.5250,280000
1998-04-07,76.3800,76.4400,74.5000,75.4400,46.0308,218300
1998-04-08,75.8800,76.0000,73.5000,73.8800,45.0789,262300
1998-04-09,74.5000,75.2500,74.0000,75.1300,45.8416,338900
1998-04-13,75.6300,77.5000,75.6300,76.7500,46.8301,518700
1998-04-14,78.7500,79.6900,78.5000,79.1900,48.3189,668200
1998-04-15,79.4400,80.3800,78.3100,80.3800,49.0450,764500
1998-04-16,80.3800,80.3800,78.6300,80.0600,48.8497,576900
1998-04-17,80.0600,82.1300,79.4400,81.9400,49.9968,457400
1998-04-20,82.1300,82.1300,80.5600,81.0000,49.4233,333000
1998-04-21,80.7500,80.8800,79.6300,80.8100,49.3073,380100
1998-04-22,80.5600,82.2500,80.5000,82.1900,50.1494,294200
1998-04-23,81.9400,82.0000,79.8100,80.3800,49.0450,251100
1998-04-24,80.5000,81.1300,78.8100,78.9400,48.1663,230300
1998-04-27,78.9400,79.1300,77.6300,78.1300,47.6721,490400
1998-04-28,78.6300,79.2500,78.4400,78.9400,48.1663,269500
1998-04-29,78.8100,79.5000,78.7500,79.5000,48.5080,237100
1998-04-30,79.3800,81.6300,79.3100,81.4400,49.6917,240900
1998-05-01,81.4400,81.5000,80.0000,81.5000,49.7283,153800
1998-05-04,81.7500,81.7500,80.3800,80.3800,49.0450,190500
1998-05-05,80.2500,80.2500,78.8800,79.5600,48.5446,139900
1998-05-06,79.2500,79.4400,78.0000,78.5000,47.8979,256500
1998-05-07,78.5600,78.5600,77.4400,77.9400,47.5562,190400
1998-05-08,77.6900,79.3800,77.6900,78.6900,48.0138,241400
1998-05-11,79.0000,79.2500,78.1300,78.4400,47.8612,196900
1998-05-12,78.5000,80.0000,78.1900,79.7500,48.6606,169500
1998-05-13,80.0000,80.3100,79.0600,79.2500,48.3555,99100
1998-05-14,79.2500,79.5000,78.9400,79.0600,48.2395,136600
1998-05-15,79.0600,79.5000,78.7500,79.3100,48.3921,248800
1998-05-18,79.2500,79.2500,78.5000,79.0000,48.2029,152000
1998-05-19,78.9400,79.5000,78.5000,79.1900,48.3189,137600
1998-05-20,79.3800,79.6300,79.3800,79.6300,48.5873,205400
1998-05-21,80.3100,81.7500,80.2500,80.6900,49.2341,144800
1998-05-22,80.5000,80.6300,79.5000,79.5600,48.5446,118800
1998-05-26,79.8100,79.9400,78.6900,78.6900,48.0138,176600
1998-05-27,78.2500,79.0600,77.6300,78.5600,47.9345,434800
1998-05-28,78.3100,79.1300,77.7500,78.7500,48.2029,346700
1998-05-29,79.0000,79.3100,78.3800,79.0000,48.3560,354900
1998-06-01,79.0600,80.3100,78.8800,79.6300,48.7416,278700
1998-06-02,79.6300,80.1900,78.6300,78.8100,48.2397,164300
1998-06-03,78.6300,79.2500,78.0000,78.0000,47.7439,196400
1998-06-04,78.0000,78.3100,77.0600,78.0600,47.7806,352700
1998-06-05,78.0600,79.1300,77.5600,79.1300,48.4355,347800
1998-06-08,79.6300,79.9400,79.3100,79.6300,48.7416,148100
1998-06-09,79.7500,79.7500,78.8800,79.2500,48.5090,326900
1998-06-10,79.3100,80.8800,79.0000,79.3100,48.5457,191700
1998-06-11,79.3100,79.4400,78.3100,78.3100,47.9336,210100
1998-06-12,78.2500,79.0000,77.8100,78.3800,47.9765,279400
1998-06-15,78.0000,79.0600,77.6300,78.0000,47.7439,248000
1998-06-16,78.3800,78.5000,77.2500,78.1300,47.8234,310100
1998-06-17,78.3800,79.9400,78.1900,79.3800,48.5886,284800
1998-06-18,79.5000,80.0000,79.0000,79.1300,48.4355,259700
1998-06-19,79.0000,79.1300,78.5000,78.6900,48.1662,343400
1998-06-22,78.9400,79.8100,78.9400,79.5000,48.6620,338500
1998-06-23,79.5000,80.3800,79.4400,79.6900,48.7783,149100
1998-06-24,79.6900,81.7500,79.2500,81.5000,49.8862,595100
1998-06-25,81.6300,82.4400,81.0000,81.5600,49.9229,237200
1998-06-26,81.6900,82.5600,81.5600,82.4400,50.4616,168300
1998-06-29,82.6900,83.4400,82.6900,82.7500,50.6513,549800
1998-06-30,82.5000,82.5000,81.0600,81.3100,49.7699,178700
1998-07-01,81.5000,83.1900,81.0000,83.1900,50.9207,298000
1998-07-02,83.0000,83.0000,82.2500,82.6300,50.5779,108800
1998-07-06,82.3800,83.3800,82.2500,83.2500,50.9574,200900
1998-07-07,83.4400,83.8800,82.4400,83.6300,51.1900,211900
1998-07-08,83.6200,85.5600,83.6200,85.3100,52.2183,222300
1998-07-09,85.5000,85.5000,84.0000,84.1900,51.5328,195800
1998-07-10,84.2500,85.0600,83.1300,84.5600,51.7592,139200
1998-07-13,84.5600,85.8800,83.7500,83.7500,51.2634,396600
1998-07-14,84.0000,86.7500,84.0000,86.6900,53.0630,290200
1998-07-15,86.4400,86.6300,85.0000,85.1900,52.1449,241100
1998-07-16,85.1900,86.6900,84.9400,86.6300,53.0263,172200
1998-07-17,86.5600,87.7500,86.5000,87.4400,53.5221,269000
1998-07-20,81.8800,81.8800,77.5000,79.0000,48.3560,6052600
1998-07-21,81.5000,81.5600,76.5600,76.8100,47.0155,2707400
1998-07-22,76.8100,77.3800,75.5600,75.8800,46.4462,1676700
1998-07-23,75.9400,75.9400,73.8800,74.3100,45.4852,899400
1998-07-24,74.3800,74.6900,73.1900,73.3100,44.8731,920300
1998-07-27,73.3100,73.3800,72.1300,73.2500,44.8364,718500
1998-07-28,73.1900,74.3100,72.1300,72.7500,44.5303,819300
1998-07-29,72.7500,73.2500,71.3800,71.6300,43.8448,1017100
1998-07-30,71.8100,72.5600,71.6300,72.3100,44.2610,447000
1998-07-31,72.6900,74.6300,72.3100,73.0000,44.6834,498300
1998-08-03,73.0600,73.3100,71.0600,71.2500,43.6122,549100
1998-08-04,71.5000,71.5000,67.6300,67.8100,41.5066,943000
1998-08-05,68.7500,69.2500,68.0600,68.7500,42.0819,1336100
1998-08-06,68.7500,69.7500,68.3100,69.3800,42.4676,527000
1998-08-07,69.6300,69.6900,68.1900,68.3800,41.8555,753200
1998-08-10,68.2500,69.0000,67.3800,67.8800,41.5494,422700
1998-08-11,67.0000,67.0000,64.0000,65.1300,39.8661,966900
1998-08-12,67.0000,67.0000,64.0000,66.2500,40.5517,456900
1998-08-13,66.3800,66.6300,65.3100,65.8800,40.3252,448000
1998-08-14,66.2500,67.0000,65.1900,65.5000,40.0926,380600
1998-08-17,65.4400,65.6300,64.8100,65.6300,40.1722,634700
1998-08-18,65.7500,66.5000,65.3800,66.0600,40.4354,949500
1998-08-19,66.1900,66.3800,64.8800,65.3100,39.9763,1027000
1998-08-20,65.3100,65.7500,65.0000,65.0000,39.7866,545100
1998-08-21,64.8800,64.8800,62.6300,63.8100,39.0582,741900
1998-08-24,64.2500,64.6900,63.2500,63.3800,38.7949,563300
1998-08-25,63.8800,64.4400,62.2500,62.4400,38.2196,559400
1998-08-26,61.5000,61.8100,60.6300,61.2500,37.4912,639900
1998-08-27,61.1900,61.1900,58.3800,59.2500,36.2670,771200
1998-08-28,58.7500,59.5600,57.6300,57.6300,35.4284,976000
1998-08-31,57.6300,58.4700,56.0000,56.0600,34.4632,1068300
1998-09-01,56.0000,56.8800,54.0000,56.4400,34.6968,1416000
1998-09-02,56.5000,58.4400,56.1300,57.0000,35.0411,1002200
1998-09-03,56.3800,57.1300,55.7500,56.1900,34.5431,808100
1998-09-04,56.4400,56.7500,54.3100,55.0000,33.8116,560100
1998-09-08,57.7500,58.1900,57.0000,58.1300,35.7358,1044400
1998-09-09,58.1300,58.1900,56.7500,57.0600,35.0780,594200
1998-09-10,56.6300,56.6900,54.1300,54.9400,33.7747,661700
1998-09-11,54.7500,58.0000,54.5000,58.0000,35.6559,1161000
1998-09-14,60.2500,60.8800,59.4400,60.2500,37.0391,762100
1998-09-15,60.2500,61.8800,59.6900,61.6300,37.8874,628400
1998-09-16,62.1300,63.1300,61.5000,62.1300,38.1948,433000
1998-09-17,61.5000,61.5000,59.8100,60.3100,37.0759,430400
1998-09-18,60.3800,60.7500,59.8800,60.6300,37.2727,482600
1998-09-21,59.8800,60.8100,59.0000,60.3800,37.1190,393700
1998-09-22,60.9400,61.2500,60.2500,60.5000,37.1927,349000
1998-09-23,60.9400,64.3800,60.9400,64.3800,39.5780,582800
1998-09-24,64.1300,64.3800,61.0000,61.5600,37.8444,643700
1998-09-25,61.5000,61.8800,59.8100,60.8800,37.4263,472900
1998-09-28,62.5000,64.0000,62.3800,62.8800,38.6559,979000
1998-09-29,63.8800,64.0000,62.6900,63.2500,38.8833,527800
1998-09-30,63.1300,63.1300,61.5600,62.0000,38.1149,739200
1998-10-01,61.6300,61.7500,60.1900,61.2500,37.6538,879800
1998-10-02,61.6900,64.1900,61.1900,63.1300,38.8096,632300
1998-10-05,63.0000,63.0600,60.3100,62.2500,38.2686,1069100
1998-10-06,62.7500,63.8800,60.2500,61.1900,37.6169,566200
1998-10-07,61.1900,61.5000,58.2500,59.5600,36.6149,544400
1998-10-08,58.2500,58.6300,55.0600,58.5000,35.9632,633000
1998-10-09,59.3800,62.4400,58.7500,62.3100,38.3055,596700
1998-10-12,63.1300,64.4400,63.0000,63.8100,39.2276,836100
1998-10-13,64.0000,66.3800,63.5600,64.4400,39.6149,886800
1998-10-14,64.1900,65.3800,63.8100,65.0000,39.9591,824600
1998-10-15,64.5600,67.5000,64.5600,67.0600,41.2255,807300
1998-10-16,68.5000,69.8800,67.0600,68.0600,41.8403,802600
1998-10-19,68.0600,69.5600,67.8800,69.1300,42.4981,709500
1998-10-20,69.5000,71.8100,69.4400,70.6300,43.4202,2344800
1998-10-21,70.3800,70.3800,68.3800,68.8100,42.3014,993200
1998-10-22,68.2500,69.5600,67.6300,69.2500,42.5719,548000
1998-10-23,69.1300,69.1900,67.1300,67.4400,41.4591,304600
1998-10-26,67.4400,67.8800,66.6300,67.2500,41.3423,243600
1998-10-27,67.3800,67.8100,66.0600,66.3100,40.7645,618000
1998-10-28,66.0600,66.6900,65.6300,66.5000,40.8813,385800
1998-10-29,66.4400,68.1900,65.5600,67.9400,41.7665,383300
1998-10-30,68.6300,69.6900,68.6300,69.6900,42.8424,405100
1998-11-02,69.7500,70.6300,69.0000,70.6300,43.4202,513900
1998-11-03,70.6300,71.6900,70.3100,71.2500,43.8014,676800
1998-11-04,71.9400,72.5600,71.2500,72.4400,44.5329,466400
1998-11-05,72.1900,74.1300,71.6900,73.8100,45.3751,404100
1998-11-06,74.0000,74.0000,72.4400,72.8100,44.7604,504600
1998-11-09,72.7500,72.7500,71.2500,71.8100,44.1456,535000
1998-11-10,71.5600,72.1300,70.8100,70.8100,43.5309,748800
1998-11-11,71.0000,71.1300,68.8100,68.8800,42.3444,652000
1998-11-12,68.7500,69.8100,68.0600,69.1300,42.4981,574900
1998-11-13,69.1900,71.5600,69.1900,70.5000,43.3403,618100
1998-11-16,70.7500,71.8800,70.5600,70.7500,43.4940,774800
1998-11-17,70.8800,72.8100,70.5600,71.6900,44.0719,509400
1998-11-18,72.1300,72.2500,70.3100,70.8100,43.5309,450000
1998-11-19,70.9400,70.9400,69.8800,70.5000,43.3403,584800
1998-11-20,71.3800,71.4400,70.3800,70.7500,43.4940,526500
1998-11-23,71.2500,74.0000,71.0600,73.8100,45.3751,678200
1998-11-24,74.0600,74.0600,72.3800,72.3800,44.4960,801100
1998-11-25,72.5600,73.0600,71.7500,72.1200,44.3362,608200
1998-11-27,71.8800,71.8800,70.8800,70.9400,43.7645,172700
1998-11-30,70.6900,70.8100,69.2500,69.8100,43.0674,734100
1998-12-01,69.5600,70.0600,69.1900,70.0000,43.1846,691700
1998-12-02,69.7500,71.6900,69.5000,71.6900,44.2272,503900
1998-12-03,71.6300,72.3800,70.9400,71.9400,44.3814,713400
1998-12-04,72.5000,74.8800,72.5000,74.7500,46.1150,872200
1998-12-07,74.8100,75.0000,73.8800,74.8100,46.1520,506400
1998-12-08,74.5600,74.5600,72.7500,72.8800,44.9613,356700
1998-12-09,73.0000,73.1900,71.5600,72.5000,44.7269,286000
1998-12-10,72.4400,72.5600,71.2500,71.5600,44.1470,270500
1998-12-11,71.0600,71.0600,69.9400,70.3100,43.3758,586300
