,open,high,low,close,adj_close,volume
2002-12-11,11.5000,12.0000,11.2500,11.5000,6.8018,36719700
2002-12-12,11.5000,11.5900,11.0200,11.1800,6.6126,9195600
2002-12-13,11.1000,11.6500,10.9500,11.4200,6.7545,7739400
2002-12-16,11.3200,11.6200,11.1300,11.6100,6.8669,3836400
2002-12-17,11.6000,11.7800,11.4500,11.5000,6.8018,2729900
2002-12-18,11.4200,11.4300,11.1300,11.2000,6.6244,2152800
2002-12-19,11.1500,11.2000,10.7100,10.7600,6.3641,6450800
2002-12-20,10.8500,10.9400,10.5600,10.8100,6.3937,2930900
2002-12-23,10.7100,10.7100,10.2000,10.4000,6.1512,3455900
2002-12-24,10.4000,10.4500,10.0000,10.2400,6.0566,3302500
2002-12-26,10.0500,10.2000,10.0000,10.0300,5.9324,2019200
2002-12-27,10.0000,10.1300,9.8600,10.1300,5.9915,1639400
2002-12-30,10.2200,10.5500,10.0000,10.4700,6.1926,2742800
2002-12-31,10.3000,10.9600,10.3000,10.7300,6.3464,3730800
2003-01-02,10.7500,10.7600,10.2500,10.5000,6.2104,3473000
2003-01-03,10.5000,10.7500,10.3300,10.7500,6.3582,1716600
2003-01-06,10.9000,11.5700,10.8500,11.4300,6.7604,4041400
2003-01-07,11.5000,12.2500,11.4000,12.2500,7.2454,6823500
2003-01-08,12.0500,12.2400,11.9500,12.2000,7.2158,4623100
2003-01-09,12.3000,12.9500,12.2500,12.6000,7.4524,9553400
2003-01-10,11.5000,11.9500,10.7000,11.1000,6.5652,7554700
2003-01-13,11.1500,11.2800,10.1500,10.2300,6.0507,2834700
2003-01-14,10.2300,10.3500,10.0000,10.2500,6.0625,1629200
2003-01-15,10.3600,10.8800,10.1900,10.7700,6.3701,2588100
2003-01-16,10.9800,11.1000,10.7800,11.0100,6.5120,1443400
2003-01-17,10.9800,11.0000,10.4000,10.8000,6.3878,2000000
2003-01-21,10.9000,10.9800,10.2100,10.2400,6.0566,1165700
2003-01-22,10.3400,10.3400,9.3000,9.5200,5.6307,3488500
2003-01-23,9.7500,10.1500,9.6100,10.0000,5.9146,2498200
2003-01-24,10.1700,10.4300,9.8000,9.9500,5.8851,2772100
2003-01-27,9.8000,9.9000,9.3200,9.3500,5.5302,1150600
2003-01-28,9.4300,9.7100,9.4000,9.4000,5.5597,1267000
2003-01-29,9.4300,9.7100,9.4000,9.4000,5.5597,1174400
2003-01-30,9.7900,9.8900,9.4000,9.4000,5.5597,720700
2003-01-31,9.3000,9.3400,8.9900,9.1800,5.4296,1402500
2003-02-03,9.2300,9.4500,9.1600,9.1700,5.4237,1002400
2003-02-04,9.1800,9.1800,8.9500,9.0500,5.3527,1087700
2003-02-05,9.1200,9.2100,8.9800,9.0500,5.3527,1233500
2003-02-06,9.1000,9.3400,9.0300,9.0500,5.3527,923500
2003-02-07,9.1500,9.1700,8.9600,9.0000,5.3232,1069500
2003-02-10,8.7500,8.7500,7.7800,8.7000,5.1457,10046400
2003-02-11,8.7000,8.9300,8.2300,8.9300,5.2818,2238900
2003-02-12,8.9500,8.9500,8.1800,8.3400,4.9505,1726000
2003-02-13,8.3500,8.4500,8.0000,8.0600,4.7843,2111000
2003-02-14,8.0600,8.4000,8.0600,8.4000,4.9862,881000
2003-02-18,8.4000,8.7400,8.3900,8.7400,5.1880,2049100
2003-02-19,8.8100,9.0000,8.7400,8.9900,5.3364,1506300
2003-02-20,8.8900,9.1500,8.8700,9.0100,5.3482,760000
2003-02-21,9.0300,9.3600,9.0300,9.2000,5.4610,1519300
2003-02-24,9.2500,9.4000,8.8800,9.0000,5.3423,1055600
2003-02-25,9.0000,9.7500,8.9700,9.6800,5.7460,3049400
2003-02-26,9.6500,9.7400,9.4200,9.5200,5.6510,782300
2003-02-27,9.4200,9.6900,9.3200,9.4500,5.6094,387000
2003-02-28,9.5000,9.5000,9.1800,9.2700,5.5026,808500
2003-03-03,9.2500,9.5200,9.2200,9.3000,5.5204,575800
2003-03-04,9.3300,9.3900,9.2000,9.2700,5.5026,517600
2003-03-05,9.2300,9.4200,9.1400,9.2900,5.5145,1017700
2003-03-06,9.1900,9.7500,9.1900,9.5800,5.6866,1481100
2003-03-07,9.4800,9.8400,9.3900,9.7000,5.7578,898800
2003-03-10,9.4500,9.7600,9.4500,9.7600,5.7934,1837100
2003-03-11,9.7000,9.7500,9.4500,9.5500,5.6688,1960400
2003-03-12,9.3500,9.4000,8.9500,9.0300,5.3601,4556400
2003-03-13,9.0300,9.1500,8.8800,9.0500,5.3720,4223600
2003-03-14,9.0200,9.1000,8.7500,8.9600,5.3186,2401400
2003-03-17,8.9600,9.4300,8.8500,9.3500,5.5501,994400
2003-03-18,9.3500,9.5600,9.3500,9.5400,5.6628,782500
2003-03-19,9.4500,9.5100,9.1800,9.3400,5.5441,874000
2003-03-20,9.2500,9.4500,9.2000,9.4400,5.6035,1609600
2003-03-21,9.5000,9.9900,9.4000,9.8000,5.8172,2559900
2003-03-24,9.4500,9.7600,9.4300,9.5500,5.6688,1945600
2003-03-25,9.5000,10.2200,9.4500,10.0000,5.9359,4664700
2003-03-26,9.8500,10.1900,9.7500,10.1000,5.9953,2908700
2003-03-27,9.9500,10.8900,9.9400,10.8800,6.4583,4410700
2003-03-28,10.6900,10.8000,10.3500,10.3500,6.1437,2628000
2003-03-31,10.0000,10.4400,9.9800,10.3200,6.1259,1127600
2003-04-01,10.4200,10.6800,10.3300,10.5700,6.2742,1558200
2003-04-02,10.7500,10.9500,10.5600,10.7400,6.3752,4117900
2003-04-03,10.8400,10.8500,10.4100,10.7200,6.3633,1517100
2003-04-04,10.6200,10.6300,10.1500,10.2700,6.0962,4553400
2003-04-07,10.3000,10.4800,10.2000,10.3100,6.1199,3600200
2003-04-08,10.3500,10.6600,10.2500,10.5200,6.2446,2169200
2003-04-09,10.6200,10.8000,10.5000,10.7200,6.3633,1889300
2003-04-10,10.7200,10.9000,10.5600,10.8300,6.4286,1988500
2003-04-11,10.8500,10.9500,10.8200,10.9500,6.4998,1500200
2003-04-14,10.9000,11.0500,10.6600,11.0500,6.5592,991300
