,open,high,low,close,adj_close,volume
1998-01-02,55.3800,55.8800,55.0000,55.5000,6.6320,183000
1998-01-05,55.2500,55.8800,53.6300,55.6300,6.6475,247500
1998-01-06,55.5000,56.1300,55.1300,55.3800,6.6177,168200
1998-01-07,55.2500,56.0000,54.5000,56.0000,6.6917,122000
1998-01-08,55.6300,57.0000,55.6300,57.0000,6.8112,230500
1998-01-09,56.6300,57.0000,54.5000,54.8400,6.5531,111100
1998-01-12,54.2500,56.0000,53.2500,55.4400,6.6248,258400
1998-01-13,56.0000,58.5000,55.5000,58.5000,6.9905,147800
1998-01-14,58.2500,58.5000,56.1300,56.5000,6.7515,178700
1998-01-15,56.5000,57.0000,53.3800,54.0000,6.4528,216300
1998-01-16,54.6300,55.1300,53.7500,54.0600,6.4599,152100
1998-01-20,54.5000,56.8800,54.2500,56.7500,6.7814,285400
1998-01-21,56.5000,57.5000,56.0000,56.7500,6.7814,298200
1998-01-22,56.6300,56.8800,55.7500,56.0600,6.6989,87400
1998-01-23,56.5000,56.5000,54.2500,54.4400,6.5053,69300
1998-01-26,54.5000,55.0000,50.7500,51.3800,6.1397,132800
1998-01-27,50.7500,52.8800,49.7500,52.6300,6.2890,366200
1998-01-28,53.0000,53.5000,52.2500,52.7500,6.3034,89800
1998-01-29,52.7500,53.2500,52.5000,53.0600,6.3404,110900
1998-01-30,53.6300,53.6300,53.1300,53.3800,6.3787,67800
1998-02-02,53.7500,54.6300,53.3800,54.5600,6.5197,78500
1998-02-03,54.3800,54.6300,53.5000,53.8800,6.4384,50000
1998-02-04,53.7500,55.5000,53.5000,55.2500,6.6021,118600
1998-02-05,55.0000,57.1300,54.5000,56.3800,6.7372,80100
1998-02-06,57.0000,57.0000,56.2500,56.6300,6.7670,135500
1998-02-09,57.0000,57.0000,55.5000,56.2500,6.7216,150600
1998-02-10,56.2500,56.9400,55.7500,56.7500,6.7814,68800
1998-02-11,56.7500,56.7500,55.5000,55.9400,6.6846,204400
1998-02-12,55.7500,56.1300,55.6300,56.0000,6.6917,327700
1998-02-13,56.1300,56.1300,55.7500,56.1300,6.7073,33900
1998-02-17,56.1300,56.1300,55.2500,55.3100,6.6093,46700
1998-02-18,55.2500,55.6900,55.2500,55.6900,6.6547,37100
1998-02-19,55.7500,56.2500,55.3100,56.0600,6.6989,22500
1998-02-20,55.6300,56.1300,54.8800,55.1900,6.5950,338900
1998-02-23,54.7500,55.2500,54.7500,54.9400,6.5651,36000
1998-02-24,55.2500,55.2500,54.7500,54.9400,6.5651,64800
1998-02-25,55.0000,57.3800,54.8800,56.9400,6.8041,130200
1998-02-26,57.0000,57.0000,55.3800,55.6300,6.6475,68900
1998-02-27,56.2500,56.2500,55.2500,55.7500,6.6619,16900
1998-03-02,56.0000,57.0000,55.7500,56.6900,6.7742,20200
1998-03-03,56.2500,57.0000,55.6300,56.1900,6.7144,60300
1998-03-04,55.6300,56.0000,55.2500,55.8100,6.6690,71200
1998-03-05,54.7500,55.6300,54.7500,55.0000,6.5722,57100
1998-03-06,54.6300,56.2500,54.6300,56.0000,6.6917,150300
1998-03-09,55.3800,56.2500,55.3800,55.3800,6.6177,80600
1998-03-10,55.3800,56.1300,55.3800,55.3800,6.6177,181500
1998-03-11,55.3800,55.8100,54.2500,54.7500,6.5424,78500
1998-03-12,55.3800,56.0000,54.6300,55.7500,6.6619,95900
1998-03-13,55.3800,56.0000,54.2500,54.8800,6.5579,103300
1998-03-16,54.5000,55.7500,54.5000,55.6300,6.6475,35000
1998-03-17,56.0000,56.0000,55.1300,55.3800,6.6177,9500
1998-03-18,55.1900,55.7500,55.0000,55.5000,6.6320,15500
1998-03-19,55.0000,56.1300,55.0000,55.8800,6.6774,49100
1998-03-20,56.1300,56.1300,55.5000,55.9400,6.6846,88600
1998-03-23,55.2500,56.7500,55.2500,56.2500,6.7216,155800
1998-03-24,56.5000,56.8800,56.0000,56.7500,6.7814,45400
1998-03-25,56.8800,56.8800,55.7500,55.7500,6.6619,66100
1998-03-26,55.6300,56.8800,55.5000,55.7500,6.6619,55000
1998-03-27,55.5000,55.9400,54.8800,55.3800,6.6177,145600
1998-03-30,54.8800,55.5000,54.8800,55.2500,6.6021,46400
1998-03-31,55.2500,57.1900,55.2500,57.1300,6.8268,145300
1998-04-01,57.1300,59.7500,57.0000,58.5000,6.9905,272800
1998-04-02,58.2500,59.5000,57.6300,57.6300,6.8865,95700
1998-04-03,58.5000,58.5000,56.3100,56.5000,6.7515,38800
1998-04-06,57.0000,57.0000,56.2500,56.7500,6.7814,51400
1998-04-07,56.1300,56.6300,55.1300,55.5000,6.6320,180900
1998-04-08,56.2500,58.0000,56.2500,56.8100,6.7885,117300
1998-04-09,57.0000,59.0000,56.2500,58.6300,7.0060,194800
1998-04-13,58.8800,58.8800,57.0000,57.2500,6.8411,127100
1998-04-14,57.0000,57.7500,56.3800,57.7500,6.9009,56500
1998-04-15,57.0000,57.7500,56.1300,56.2500,6.7216,59300
1998-04-16,56.0000,56.5000,55.0000,55.0000,6.5722,45900
1998-04-17,54.7500,55.7500,54.7500,55.5000,6.6320,105500
1998-04-20,55.3800,56.0000,55.3800,55.5000,6.6320,23700
1998-04-21,55.2500,55.6300,55.0000,55.6300,6.6475,25400
1998-04-22,55.0000,56.2500,55.0000,55.3800,6.6177,53900
1998-04-23,55.0000,55.7500,53.0000,53.3400,6.3739,182100
1998-04-24,53.0000,54.0000,52.3100,52.8800,6.3189,164200
1998-04-27,52.2500,53.0000,51.0000,51.6300,6.1695,200200
1998-04-28,51.5000,52.2500,51.5000,51.5000,6.1540,193400
1998-04-29,51.5000,52.0000,51.5000,52.0000,6.2138,162500
1998-04-30,52.2500,52.3800,51.7500,52.3800,6.2592,45600
1998-05-01,52.0000,52.3800,51.7500,52.1300,6.2293,221900
1998-05-04,52.3800,52.3800,50.5000,51.1300,6.1098,121300
1998-05-05,50.7500,50.7500,47.6300,47.8100,5.7131,902200
1998-05-06,48.5000,49.5000,47.8100,49.0000,5.8553,221500
1998-05-07,49.5000,49.5000,48.7500,48.7500,5.8254,74600
1998-05-08,49.2500,50.2500,48.8800,50.0000,5.9748,164100
1998-05-11,50.0000,50.5000,49.6300,50.0600,5.9819,266800
1998-05-12,49.7500,50.2500,49.7500,49.8800,5.9604,18000
1998-05-13,49.8800,50.5000,49.7500,50.3800,6.0202,188000
1998-05-14,49.8800,50.2500,49.0000,49.0000,5.8553,70600
1998-05-15,49.0000,49.6300,47.1300,47.2500,5.6462,102600
1998-05-18,47.7500,47.7500,46.8800,47.1900,5.6390,113400
1998-05-19,46.8800,47.7500,46.7500,47.7500,5.7059,98200
1998-05-20,47.5000,48.0000,47.2500,47.2500,5.6462,53500
1998-05-21,47.2500,48.8800,47.2500,48.8100,5.8326,107900
1998-05-22,48.7500,49.1300,48.2500,48.2500,5.7657,68800
1998-05-26,48.2500,49.0000,47.2500,47.7500,5.7059,125900
1998-05-27,46.7500,47.5000,45.5600,46.3800,5.5422,50500
1998-05-28,46.2500,47.0000,46.0000,46.2500,5.5267,32100
1998-05-29,47.1300,48.0000,45.8800,46.1300,5.5123,167800
1998-06-01,46.1300,47.5000,45.8800,47.2500,5.6462,74600
1998-06-02,48.0000,49.1300,47.1300,47.8800,5.7214,139900
1998-06-03,48.0000,49.0000,48.0000,49.0000,5.8553,52600
1998-06-04,49.0000,49.2500,48.0000,49.2500,5.8851,44800
1998-06-05,49.3800,51.7500,49.0000,51.6300,6.1695,96300
1998-06-08,51.6300,52.3800,51.0000,51.5000,6.1540,52200
1998-06-09,51.6300,51.6300,49.5000,50.0900,5.9855,47500
1998-06-10,50.2500,50.7500,48.5000,48.5000,5.7955,93600
1998-06-11,48.5000,50.5000,48.5000,50.4400,6.0273,60800
1998-06-12,49.7500,50.6300,49.7500,50.1300,5.9903,105900
1998-06-15,49.5000,50.0000,49.2500,49.2500,5.8851,20400
1998-06-16,49.2500,50.2500,49.2500,49.7500,5.9449,9900
1998-06-17,50.2500,50.5000,49.7500,50.2500,6.0046,117700
1998-06-18,50.2500,50.2500,47.0000,49.2500,5.8851,262900
1998-06-19,49.1300,49.5000,48.7500,48.8800,5.8409,168200
1998-06-22,48.7500,49.2500,47.2500,47.7500,5.7059,216400
1998-06-23,48.7500,50.0000,46.5300,47.7500,5.7059,280200
1998-06-24,47.3800,47.3800,46.2500,47.1300,5.6318,200900
1998-06-25,47.2500,48.0000,44.6300,47.3800,5.6617,268700
1998-06-26,46.7500,48.7500,46.7500,48.5000,5.7955,349600
1998-06-29,48.7500,50.0000,48.0000,48.7500,5.8254,97700
1998-06-30,48.3800,49.6300,48.3800,49.1900,5.8780,136700
1998-07-01,48.7500,49.5600,48.0000,49.2500,5.8851,59800
1998-07-02,49.0000,50.2500,48.5000,48.8100,5.8326,185100
1998-07-06,48.6900,50.1300,48.6900,49.5000,5.9150,134900
1998-07-07,49.8800,50.0000,47.1300,47.3800,5.6617,171300
1998-07-08,48.0000,48.0000,46.6300,47.6300,5.6916,40300
1998-07-09,48.0000,48.5000,46.8800,48.5000,5.7955,71200
1998-07-10,48.1300,49.0000,47.7500,48.6300,5.8111,123800
1998-07-13,48.5000,48.5000,46.5000,47.0000,5.6163,96600
1998-07-14,47.2500,47.5000,46.5000,46.8100,5.5936,229200
1998-07-15,47.1300,47.6300,46.8800,47.2500,5.6462,166600
1998-07-16,47.1900,47.8800,47.0000,47.7500,5.7059,155500
1998-07-17,47.1300,48.6300,47.1300,48.6300,5.8111,83500
1998-07-20,48.7500,49.2500,48.3800,48.9400,5.8481,62800
1998-07-21,49.3800,49.3800,48.2500,48.3800,5.7812,90800
1998-07-22,48.1300,50.7500,48.1300,50.0600,5.9819,76100
1998-07-23,50.2500,50.2500,49.1300,49.2500,5.8851,126400
1998-07-24,49.0000,49.6300,48.7500,49.1300,5.8708,57100
1998-07-27,48.5000,48.5600,47.5000,47.7500,5.7059,98200
1998-07-28,47.3800,48.0000,45.0000,46.5000,5.5565,153400
1998-07-29,45.8800,47.7500,45.8800,47.0000,5.6163,117100
1998-07-30,46.6300,47.0000,46.6300,47.0000,5.6163,25800
1998-07-31,46.7500,48.1300,46.7500,47.1300,5.6318,108700
1998-08-03,46.7500,47.0000,43.6300,44.7500,5.3474,195800
1998-08-04,44.8800,45.5000,42.6300,42.6300,5.0941,273700
1998-08-05,42.5000,43.3800,40.7500,40.7500,4.8694,262800
1998-08-06,41.5000,42.2500,40.7500,42.0000,5.0188,76100
1998-08-07,42.5000,46.0000,42.0000,46.0000,5.4968,254400
1998-08-10,45.0000,46.0000,44.5000,44.5000,5.3175,173900
1998-08-11,44.2500,44.4400,43.7800,44.1300,5.2733,115400
1998-08-12,44.5000,44.8800,44.0000,44.5000,5.3175,149100
1998-08-13,44.2500,44.4400,44.0000,44.2500,5.2877,80900
1998-08-14,44.0000,44.0000,43.0000,43.2500,5.1682,96500
