,open,high,low,close,adj_close,volume
1998-01-02,16.2500,16.2500,15.7500,15.7500,4.9220,5200
1998-01-05,15.6300,15.6300,14.9400,15.1300,4.7283,22267
1998-01-06,15.1300,17.2500,15.0000,16.3700,5.1158,66867
1998-01-07,16.5000,16.7500,16.2500,16.6200,5.1939,52400
1998-01-08,16.6200,16.6200,16.1200,16.1200,5.0377,48467
1998-01-09,15.7500,15.8800,15.0000,15.2500,4.7658,72667
1998-01-12,15.0000,15.7500,14.7500,15.0600,4.7064,48000
1998-01-13,15.0000,16.5000,14.6300,16.2500,5.0783,106867
1998-01-14,16.1200,19.2500,16.1200,18.5000,5.7814,381000
1998-01-15,19.0000,19.5000,17.6200,17.7500,5.5471,243800
1998-01-16,17.8100,18.2500,17.3700,17.3700,5.4283,51467
1998-01-20,17.5000,18.6200,17.5000,18.0000,5.6252,102000
1998-01-21,18.1200,18.7500,18.0000,18.5000,5.7814,114267
1998-01-22,18.5000,19.5000,18.5000,19.3100,6.0346,92067
1998-01-23,19.5600,20.0000,19.1200,19.3700,6.0533,97800
1998-01-26,19.2500,19.6200,19.1900,19.3700,6.0533,73667
1998-01-27,19.4400,19.6200,19.1900,19.3700,6.0533,26400
1998-01-28,19.2500,20.0000,19.2500,19.8700,6.2096,141400
1998-01-29,19.6200,20.0000,19.6200,19.7500,6.1721,92067
1998-01-30,19.0000,19.6200,18.3700,19.3700,6.0533,167200
1998-02-02,19.3700,19.4400,18.6200,18.9400,5.9189,116667
1998-02-03,19.0000,19.2500,18.6200,18.7500,5.8596,23800
1998-02-04,18.9400,19.5000,18.6200,19.0000,5.9377,73467
1998-02-05,19.0600,19.0600,18.1200,18.5600,5.8002,40600
1998-02-06,18.5000,18.5000,17.5000,17.8100,5.5658,54267
1998-02-09,17.7500,18.0600,17.6200,18.0000,5.6252,49467
1998-02-10,18.0000,18.3700,17.7500,17.7500,5.5471,24000
1998-02-11,17.5000,17.5600,17.1200,17.5000,5.4689,127600
1998-02-12,17.6200,17.6200,16.5600,16.8700,5.2720,97467
1998-02-13,16.8700,17.0000,16.8700,17.0000,5.3127,28667
1998-02-17,17.0000,17.0000,16.0000,16.5000,5.1564,45600
1998-02-18,16.3700,16.3700,15.8800,16.2500,5.0783,35467
1998-02-19,16.2500,16.3700,16.1900,16.2500,5.0783,38067
1998-02-20,16.3700,16.3700,15.5000,15.6300,4.8845,35400
1998-02-23,15.6300,15.8800,15.2500,15.6300,4.8845,167000
1998-02-24,15.6300,16.2500,15.6300,16.2500,5.0783,36200
1998-02-25,16.3700,16.3700,15.5000,15.8800,4.9627,44867
1998-02-26,15.7500,16.0600,15.6300,15.9400,4.9814,27267
1998-02-27,15.8100,16.5000,15.7500,16.3100,5.0970,35467
1998-03-02,16.4400,16.4400,15.7500,15.7500,4.9220,48467
1998-03-03,16.0000,16.3700,15.7500,15.8100,4.9408,129800
1998-03-04,15.8800,16.3100,15.7500,16.1200,5.0377,67000
1998-03-05,15.7500,16.0600,15.5000,15.9400,4.9814,56400
1998-03-06,15.8800,15.8800,15.0000,15.0000,4.6876,82667
1998-03-09,15.0600,15.2500,14.0600,14.0600,4.3939,137667
1998-03-10,14.2500,15.0000,14.2500,14.5600,4.5501,100867
1998-03-11,14.6300,14.6300,14.1300,14.2500,4.4533,36400
