,open,high,low,close,adj_close,volume
1998-01-02,46.9400,47.0000,45.2500,45.5600,26.5082,139300
1998-01-05,45.5000,46.7500,45.0000,45.3800,26.4035,158900
1998-01-06,44.5000,44.8100,44.0000,44.1900,25.7111,176400
1998-01-07,44.1300,44.4400,43.7500,44.1900,25.7111,299100
1998-01-08,44.0000,44.2500,43.8800,44.1300,25.6762,289600
1998-01-09,44.3100,44.4400,42.7500,42.9400,24.9838,203900
1998-01-12,42.2500,44.5600,42.2500,44.0000,25.6006,350800
1998-01-13,44.0000,44.1300,43.5000,43.6900,25.4202,90500
1998-01-14,43.8100,43.9400,43.1300,43.8800,25.5307,110000
1998-01-15,43.9400,44.0600,43.3100,43.5600,25.3446,118800
1998-01-16,43.9400,44.6300,43.6300,44.1300,25.6762,182200
1998-01-20,44.1300,46.0600,44.1300,46.0600,26.7991,113400
1998-01-21,46.0600,46.0600,44.8800,45.1300,26.2580,229800
1998-01-22,44.8800,44.9400,44.4400,44.5600,25.9264,564800
1998-01-23,44.0000,44.8100,44.0000,44.3100,25.7809,664700
1998-01-26,44.4400,45.1300,44.3800,44.5600,25.9264,342200
1998-01-27,44.5600,45.0600,44.5600,44.9400,26.1475,346000
1998-01-28,45.0000,45.0000,44.1900,44.5000,25.8915,72400
1998-01-29,44.2500,44.9400,44.1900,44.6900,26.0020,339800
1998-01-30,44.6900,45.0000,44.2500,44.2500,25.7460,326700
1998-02-02,46.0000,46.6900,46.0000,46.2500,26.9097,540200
1998-02-03,46.2500,46.2500,45.4700,45.5000,26.4733,340000
1998-02-04,45.2500,46.9400,45.2500,46.9400,27.3111,512900
1998-02-05,46.8100,46.8100,45.5000,45.8800,26.6944,285500
1998-02-06,45.6300,46.9400,45.6300,46.1300,26.8399,253700
1998-02-09,46.1300,46.9400,46.0600,46.4400,27.0202,250000
1998-02-10,46.3800,46.6300,46.3100,46.5000,27.0551,136800
1998-02-11,46.2500,46.4400,45.7500,46.4400,27.0202,137600
1998-02-12,46.3100,47.0000,46.1900,47.0000,27.3461,134900
1998-02-13,46.6900,46.9400,46.3100,46.9400,27.3111,139900
1998-02-17,46.7500,46.9400,46.5600,46.6900,27.1657,112600
1998-02-18,46.7500,47.5000,46.7500,47.0000,27.3461,247700
1998-02-19,46.9400,47.2500,45.6300,46.0600,26.7991,162600
1998-02-20,46.3100,46.6300,45.8800,46.0600,26.7991,142300
1998-02-23,46.3100,46.5600,45.8800,46.0600,26.7991,108100
1998-02-24,45.7500,46.1300,45.7500,45.8800,26.6944,162400
1998-02-25,45.8800,47.1300,45.8800,47.0600,27.3810,183500
1998-02-26,47.1900,47.1900,46.3800,46.9400,27.3111,97800
1998-02-27,46.8100,47.9400,46.8100,47.8100,27.8173,135300
1998-03-02,47.8100,48.5000,47.6300,48.3800,28.1490,243400
1998-03-03,48.6300,49.1900,48.4400,48.7500,28.3643,114300
1998-03-04,48.5000,49.1900,48.5000,48.6300,28.2944,234700
1998-03-05,48.2500,48.5600,48.0000,48.1900,28.1548,101500
1998-03-06,48.1900,50.5000,48.1900,49.8100,29.1013,212700
1998-03-09,49.5600,50.0000,49.0000,49.3800,28.8500,96700
1998-03-10,49.3100,49.9400,49.1300,49.3100,28.8092,71200
1998-03-11,49.2500,49.8800,49.2500,49.6300,28.9961,171700
1998-03-12,49.5600,51.2500,49.4400,51.2500,29.9426,259400
1998-03-13,51.3800,52.0600,50.6900,50.8800,29.7264,167800
1998-03-16,50.7500,52.2500,50.7500,52.0000,30.3808,122800
1998-03-17,51.8800,52.3800,51.6300,52.0000,30.3808,319400
1998-03-18,52.0000,52.4400,52.0000,52.0000,30.3808,170900
1998-03-19,51.8100,53.0000,51.8100,53.0000,30.9650,209800
1998-03-20,53.5000,54.0000,53.3100,53.3100,31.1461,230400
1998-03-23,53.3100,53.8100,52.6900,52.7500,30.8190,144300
1998-03-24,52.7500,53.1300,52.7500,53.1300,31.0410,88500
1998-03-25,53.1300,53.3800,52.4400,52.6300,30.7488,106700
1998-03-26,52.6900,52.8100,52.3800,52.6900,30.7839,107100
1998-03-27,52.8800,53.3800,52.8100,53.3100,31.1461,151100
1998-03-30,53.2500,54.2500,53.2500,53.8800,31.4792,163100
1998-03-31,53.8800,56.0600,53.8800,55.7500,32.5717,147000
1998-04-01,55.5000,55.5000,54.7500,55.2500,32.2796,119700
1998-04-02,55.1900,55.7500,55.0600,55.7500,32.5717,102700
1998-04-03,54.6300,55.9400,54.6300,55.2500,32.2796,124600
1998-04-06,55.3800,55.7500,55.0000,55.4400,32.3906,97400
1998-04-07,55.5600,55.5600,53.8100,54.1900,31.6603,67900
1998-04-08,54.1300,54.5000,53.8100,54.0600,31.5843,64400
1998-04-09,54.1900,55.3100,54.0000,54.8100,32.0225,90600
1998-04-13,54.6900,54.6900,53.5600,54.4400,31.8063,103000
1998-04-14,54.1900,55.3100,54.1900,55.3100,32.3146,70600
1998-04-15,55.0600,57.2500,54.7200,56.3800,32.9398,166400
1998-04-16,56.3800,56.3800,55.2500,55.4400,32.3906,52200
1998-04-17,55.6900,55.6900,54.4400,55.3800,32.3555,66100
1998-04-20,55.0000,55.0000,54.3800,54.4400,31.8063,44500
1998-04-21,54.1300,54.5600,53.5000,54.1300,31.6252,62400
1998-04-22,53.9400,54.3800,53.6300,53.6300,31.3331,46000
1998-04-23,53.3800,53.3800,49.3800,51.9400,30.3457,321600
1998-04-24,51.9400,52.6900,51.0000,51.7500,30.2347,193700
1998-04-27,51.2500,51.3100,49.6900,50.4400,29.4694,241900
1998-04-28,51.0000,51.1300,49.6300,50.5600,29.5395,171100
1998-04-29,50.6300,50.9400,50.0600,50.8800,29.7264,152100
1998-04-30,50.8800,51.4400,50.8100,51.1900,29.9075,174200
1998-05-01,51.3800,52.0000,51.3100,52.0000,30.3808,204600
1998-05-04,51.8800,52.2500,51.8100,52.0000,30.3808,133100
1998-05-05,51.7500,51.9400,51.1300,51.5000,30.0887,97900
1998-05-06,51.5000,51.5000,50.3800,50.6300,29.5804,108900
1998-05-07,50.6300,50.6300,49.2500,49.3100,28.8092,165800
1998-05-08,49.1300,50.5000,49.1300,49.9400,29.1772,118600
1998-05-11,49.9400,50.4400,49.8100,50.1900,29.3233,48500
1998-05-12,50.0000,50.1900,49.8100,50.0000,29.2123,78000
1998-05-13,50.0000,50.1900,49.8100,49.9400,29.1772,78900
1998-05-14,50.0000,50.0000,49.5000,49.6300,28.9961,56500
1998-05-15,49.3800,49.9400,49.3800,49.5600,28.9552,66300
1998-05-18,49.4400,50.0600,48.5000,48.7500,28.4820,94200
1998-05-19,48.9400,49.0000,48.5600,48.6900,28.4469,49300
1998-05-20,48.8800,49.3100,48.5000,49.1900,28.7390,120100
1998-05-21,51.1300,51.3100,49.2500,49.2500,28.7741,131200
1998-05-22,48.6300,48.7500,47.6900,47.7500,27.8977,206400
1998-05-26,48.0000,48.0000,46.8800,47.1300,27.5355,140400
1998-05-27,46.9400,47.3800,45.5000,46.4400,27.1324,175400
1998-05-28,46.6900,47.4400,45.5000,46.1900,26.9863,184400
1998-05-29,45.6900,47.8800,45.3800,47.3800,27.6816,357600
1998-06-01,47.9400,48.3800,47.1300,47.6300,27.8276,193500
1998-06-02,47.5000,47.7500,47.0000,47.0600,27.4946,137100
1998-06-03,46.9400,47.0000,46.0600,46.2500,27.0214,108200
1998-06-04,45.8800,46.8800,45.7500,46.3800,27.2142,299500
1998-06-05,46.2500,47.4400,46.2500,47.2500,27.7246,311800
1998-06-08,47.3800,47.5600,46.7500,47.0600,27.6132,103100
1998-06-09,46.6300,46.8800,46.4400,46.6900,27.3961,109100
1998-06-10,46.7500,46.8100,46.0000,46.0000,26.9912,392000
1998-06-11,46.0000,46.5600,44.9400,45.3100,26.5863,332100
1998-06-12,45.4400,45.6900,44.8800,45.5000,26.6978,235100
1998-06-15,45.6300,45.6300,45.0000,45.2500,26.5511,211300
