,open,high,low,close,adj_close,volume
2014-07-31,23.0000,24.0000,22.6000,23.0000,21.7159,56477500
2014-08-01,22.9000,23.0000,22.6700,23.0000,21.7159,6458100
2014-08-04,23.1000,23.1300,22.9000,23.0000,21.7159,3453900
2014-08-05,22.9900,23.0100,22.6700,23.0000,21.7159,4449000
2014-08-06,22.8000,22.9800,22.6700,22.9800,21.6970,6993400
2014-08-07,22.8900,23.0000,22.8000,22.9300,21.6498,3186900
2014-08-08,22.9300,23.0300,22.8000,22.9500,21.6687,2855000
2014-08-11,22.9000,22.9300,22.8000,22.9300,21.6498,1767500
2014-08-12,22.8900,23.0000,22.8300,23.0000,21.7159,1549700
2014-08-13,23.0000,23.2300,22.8800,23.1800,21.8858,1659100
2014-08-14,23.2000,23.2200,22.9500,23.0100,21.7253,1391700
2014-08-15,23.0200,23.0800,23.0000,23.0000,21.7159,1948100
2014-08-18,23.0600,23.1700,23.0200,23.1700,21.8764,1073700
2014-08-19,23.2000,24.4350,23.2000,24.4100,23.0472,2851800
2014-08-20,24.3000,25.5900,24.2600,25.1900,23.7836,3544500
2014-08-21,25.4700,25.5200,24.9200,25.3900,23.9725,2358000
2014-08-22,25.2500,25.4300,25.1000,25.3600,23.9441,891600
2014-08-25,25.3700,25.4000,24.8800,25.1200,23.7175,1185400
2014-08-26,25.0000,25.1000,24.9400,25.0500,23.6514,951000
2014-08-27,25.0000,25.5400,24.9500,25.4700,24.0480,1230600
2014-08-28,25.4000,25.8400,25.3100,25.6900,24.2557,981700
2014-08-29,25.8100,25.9400,25.4500,25.7900,24.3501,981200
2014-09-02,25.7000,25.9000,25.5200,25.7900,24.3501,1873200
2014-09-03,25.9900,25.9970,25.6300,25.7900,24.3501,996500
2014-09-04,25.5300,25.7500,25.5100,25.7000,24.2652,1117500
2014-09-05,25.7000,26.0200,25.6200,25.7700,24.3312,1089800
2014-09-08,25.8200,25.9800,24.6200,24.8400,23.4532,2534800
2014-09-09,25.3000,25.6000,24.7000,25.0400,23.6420,3608600
2014-09-10,25.1900,25.3050,24.6900,24.7000,23.3210,1974600
2014-09-11,24.7500,25.0200,24.6300,24.6500,23.2738,2029100
2014-09-12,24.5300,24.7500,24.4400,24.5000,23.1321,1106800
2014-09-15,24.3500,24.3800,23.9200,24.1500,22.8017,1125600
2014-09-16,24.2400,24.3600,23.8800,24.3100,22.9528,1512100
2014-09-17,24.4500,24.6900,24.3600,24.5500,23.1794,940400
2014-09-18,24.5700,24.8400,24.5600,24.6700,23.2927,879100
2014-09-19,24.8500,25.4900,24.7100,25.4100,23.9913,5257900
2014-09-22,25.2800,25.3600,24.7500,24.8400,23.4532,735765
2014-09-23,24.6600,24.7000,24.1800,24.5800,23.2077,939952
2014-09-24,24.7300,25.0000,24.6750,24.9200,23.5287,964606
