open,high,low,close,volume,prior_high,50ma,next_close
118.61,118.85,118.02,118.66,33628268,122.47,44278648.0,117.62
97.62,98.02,97.26,97.48,37023900,98.39,54572008.0,96.69
106.7,110.23,106.6,109.99,58840522,117.69,40274778.0,109.95
122.32,123.33,122.05,122.19,34694235,124.93,50083182.0,125.04
116.62,116.64,115.35,115.46,21388308,120.05,47647343.0,115.25
113.14,113.61,110.91,110.91,146477063,109.77,53397780.0,114.36
93.76,94.04,92.76,93.84,48951000,94.55,47355906.0,94.96
87.05,87.54,86.4,86.59,105032200,88.19,95754638.0,86.67
125.05,126.08,123.85,124.28,50988278,128.71,52249894.0,121.48
71.84,72.06,70.83,70.87,59913000,73.73,69118504.0,70.34
106.92,108.87,106.55,108.43,34143898,117.69,39350111.0,105.71
113.98,114.55,113.12,114.12,51915749,115.37,55516446.0,115.0
90.91,91.89,90.12,90.48,46711000,94.55,54140558.0,90.73
54.49,56.04,54.42,55.62,117466300,60.42,107208374.0,55.93
109.81,109.83,108.55,108.71,30467204,108.68,64499945.0,108.89
101.75,103.36,101.74,103.25,39869839,99.37,35799743.0,103.12
116.39,117.25,115.25,115.71,32084249,116.52,45063388.0,115.66
68.92,70.69,68.47,69.55,157621100,72.27,153813030.0,71.07
118.47,119.16,118.0,118.42,33042283,115.37,52441797.0,117.95
96.93,97.87,96.8,97.36,62626100,98.39,53673344.0,97.33
80.19,80.44,79.84,80.22,47878600,73.73,68110182.0,81.36
104.94,106.48,104.87,106.25,32657354,109.77,44033606.0,105.68
103.17,103.26,101.67,101.87,92344820,99.37,35940685.0,103.25
112.68,112.88,110.4,110.72,46886161,116.52,43136417.0,110.03
72.13,72.37,71.02,71.11,69696200,74.46,89095202.0,71.42
116.5,117.14,116.4,117.05,23538673,117.69,35587565.0,117.65
107.15,109.43,106.3,109.43,61888812,110.87,60563848.0,107.51
75.08,75.08,72.8,73.64,160688500,72.27,148049678.0,73.74
78.14,78.31,77.34,77.56,107622200,78.26,142980138.0,78.98
77.87,78.01,75.11,75.38,149843400,82.26,126317758.0,76.4
113.12,113.76,112.55,113.31,28779313,115.37,35389997.0,113.48
67.56,67.64,66.66,67.29,61051900,57.49,85194536.0,67.03
62.21,62.72,61.43,61.84,83714400,57.49,80729712.0,61.8
122.19,122.46,119.14,119.14,51655177,123.69,60360475.0,119.97
67.0,68.26,66.96,67.29,82741400,57.49,85174530.0,65.37
104.73,104.86,103.16,104.01,41574365,97.42,63416474.0,104.26
93.82,94.96,91.15,93.41,100933600,97.42,59029891.0,92.19
127.25,127.46,125.96,126.33,50884452,124.93,47266173.0,126.58
81.58,82.58,81.12,82.46,160324500,80.63,154974008.0,82.79
56.26,58.2,55.68,57.76,150801000,61.03,117458670.0,57.59
107.14,107.19,103.25,105.16,53204626,109.77,47081491.0,102.2
61.36,62.05,60.97,61.21,125283900,63.51,135582664.0,60.89
78.01,78.97,75.73,78.85,204165500,78.26,138824658.0,78.4
